plan1, proj12sched, read
code21, proj21task2prop, read
ldr11, proj11budget, write
code21, proj21task2propa, setStatus
code21, proj21task2a, request
plan2, proj22sched, read
des22, proj22task1a, read
des22, proj22task1propa, setStatus
ldr12, proj12sched, read
des12, proj12task1, read
code21, proj21task2propa, read
ldr11, proj11sched, write
des11, proj11task1a, read
ldr12, proj12budget, write
des22, proj22sched, read
acc2, proj22sched, read
code11, proj11task2propa, setStatus
code22, proj22sched, read
code22, proj22task2, read
plan2, proj21sched, read
code11, proj11sched, read
des22, proj22task1, read
des11, proj11task1prop, request
code21, proj21task2, read
code12, proj12task2, read
acc1, proj11sched, read
code22, proj22task2a, read
code22, proj22task2, request
code21, proj21task2propa, request
code11, proj11task2prop, read
code11, proj11task2prop, request
des11, proj11sched, read
ldr2, proj22sched, read
code22, proj22task2a, setStatus
acc2, proj21sched, read
des12, proj12task1a, setStatus
des12, proj12task1propa, setStatus
code11, proj11task2, read
des21, proj21task1prop, read
code12, proj12sched, read
des21, proj21task1propa, read
des21, proj21task1propa, setStatus
des11, proj11task1propa, setStatus
des22, proj22task1a, request
code11, proj11task2a, request
des11, proj11task1propa, request
des11, proj11task1prop, read
code11, proj11task2propa, read
code22, proj22task2a, request
des21, proj21task1, read
des11, proj11task1a, setStatus
des22, proj22task1a, setStatus
ldr2, proj21budget, read
aud2, proj22sched, read
des21, proj21task1propa, request
des21, proj21sched, read
des12, proj12task1a, request
des21, proj21task1a, read
ldr11, proj12sched, read
aud1, proj11sched, read
ldr12, proj12sched, write
aud1, proj12sched, read
code21, proj21task2prop, request
code21, proj21task2a, read
des11, proj11task1, read
ldr11, proj11sched, read
code21, proj21task2a, setStatus
code11, proj11task2a, setStatus
des22, proj22task1, request
code12, proj12task2, request
code12, proj12task2a, request
ldr2, proj22sched, write
ldr2, proj22budget, read
des21, proj21task1, request
des12, proj12sched, read
ldr12, proj12budget, read
code12, proj12task2propa, setStatus
code11, proj11task2a, read
des12, proj12task1a, read
des21, proj21task1a, setStatus
des11, proj11task1propa, read
des11, proj11task1, request
des11, proj11task1a, request
des21, proj21task1prop, request
code21, proj21task2, request
code12, proj12task2a, setStatus
ldr11, proj11budget, read
aud2, proj21sched, read
des21, proj21task1a, request
acc1, proj12sched, read
ldr2, proj22budget, write
ldr2, proj21sched, write
code22, proj22task2propa, setStatus
ldr2, proj21budget, write
plan1, proj11sched, read
code11, proj11task2, request
code12, proj12task2a, read
code11, proj11task2propa, request
code21, proj21sched, read
ldr2, proj21sched, read
des12, proj12task1, request
