csStu2, cs602gradebook, readScore
csChair, csStu1trans, read
eeStu3, ee602gradebook, readMyScores
registrar2, cs101roster, read
eeStu3, ee601gradebook, readScore
registrar1, eeStu5trans, read
eeFac2, ee601gradebook, assignGrade
eeStu2, ee602gradebook, addScore
csStu4, csStu4trans, read
csStu3, cs601gradebook, readScore
registrar1, eeStu3trans, read
eeChair, eeStu4trans, read
registrar1, ee601roster, write
admissions1, eeStu2application, setStatus
admissions1, csStu5application, read
registrar1, csStu3trans, read
registrar2, ee101roster, read
csStu2, csStu2trans, read
csStu3, cs601gradebook, addScore
registrar1, cs602roster, read
csStu5, cs601gradebook, readMyScores
csStu2, cs602gradebook, addScore
eeStu4, eeStu4trans, read
eeStu4, eeStu4application, checkStatus
csStu2, cs101gradebook, readScore
registrar2, ee601roster, write
csStu4, cs601gradebook, readMyScores
eeStu2, ee601gradebook, readMyScores
csFac2, cs601gradebook, assignGrade
eeStu1, eeStu1application, checkStatus
eeChair, eeStu2trans, read
eeStu5, ee601gradebook, readMyScores
eeChair, eeStu5trans, read
registrar1, ee101roster, write
csStu4, csStu4application, checkStatus
registrar1, ee101roster, read
eeStu4, ee601gradebook, readMyScores
csStu5, csStu5application, checkStatus
admissions1, csStu2application, read
admissions2, application1, setStatus
registrar2, cs602roster, read
admissions2, eeStu3application, setStatus
registrar1, cs601roster, read
csFac2, cs601gradebook, changeScore
admissions2, eeStu4application, read
admissions2, csStu5application, read
registrar2, eeStu3trans, read
csStu5, csStu5trans, read
registrar1, ee602roster, read
registrar2, csStu1trans, read
registrar1, ee601roster, read
csFac1, cs101gradebook, assignGrade
registrar2, ee602roster, write
registrar1, csStu2trans, read
registrar2, csStu5trans, read
admissions1, eeStu2application, read
registrar2, csStu4trans, read
eeFac2, ee601gradebook, changeScore
registrar1, csStu5trans, read
registrar2, cs101roster, write
admissions1, csStu5application, setStatus
eeStu1, eeStu1trans, read
eeChair, eeStu1trans, read
admissions1, eeStu5application, setStatus
admissions2, csStu3application, read
registrar1, cs601roster, write
csStu2, csStu2application, checkStatus
registrar1, eeStu2trans, read
registrar2, ee101roster, write
registrar2, cs602roster, write
admissions2, csStu1application, setStatus
admissions2, eeStu5application, read
csStu1, cs101gradebook, readMyScores
eeStu1, ee101gradebook, readMyScores
eeFac1, ee101gradebook, changeScore
eeStu2, eeStu2trans, read
csFac2, cs601gradebook, addScore
registrar1, csStu1trans, read
admissions2, eeStu1application, setStatus
eeStu2, ee101gradebook, readScore
admissions2, eeStu1application, read
admissions2, csStu5application, setStatus
eeStu3, ee601gradebook, addScore
eeStu5, ee602gradebook, readMyScores
applicant2, application2, checkStatus
registrar1, csStu4trans, read
admissions1, eeStu4application, setStatus
csFac2, cs601roster, read
admissions2, application1, read
admissions2, eeStu5application, setStatus
registrar2, ee602roster, read
admissions1, csStu4application, setStatus
eeStu2, ee602gradebook, readScore
eeStu2, eeStu2application, checkStatus
registrar2, eeStu1trans, read
eeFac1, ee101gradebook, assignGrade
admissions2, application2, setStatus
admissions2, csStu2application, read
admissions1, application1, read
admissions1, csStu1application, read
registrar1, cs602roster, write
registrar1, eeStu1trans, read
admissions1, csStu1application, setStatus
eeFac2, ee601roster, read
eeStu5, eeStu5application, checkStatus
eeChair, eeStu3trans, read
eeFac1, ee101roster, read
csFac1, cs101roster, read
admissions1, csStu3application, read
registrar1, ee602roster, write
registrar2, ee601roster, read
csChair, csStu3trans, read
admissions2, application2, read
admissions2, csStu3application, setStatus
admissions2, csStu4application, read
eeFac1, ee101gradebook, readScore
csFac2, cs601gradebook, readScore
eeStu3, eeStu3application, checkStatus
admissions2, eeStu2application, read
admissions1, eeStu1application, setStatus
csFac1, cs101gradebook, addScore
admissions1, eeStu3application, setStatus
csChair, csStu2trans, read
registrar2, eeStu5trans, read
csStu3, csStu3application, checkStatus
admissions2, csStu4application, setStatus
csStu1, csStu1application, checkStatus
admissions1, eeStu1application, read
registrar2, eeStu4trans, read
admissions2, eeStu3application, read
csStu3, cs602gradebook, readMyScores
admissions1, csStu3application, setStatus
admissions1, eeStu3application, read
eeStu2, ee101gradebook, addScore
eeFac2, ee601gradebook, readScore
registrar2, csStu3trans, read
admissions1, application2, setStatus
registrar2, cs601roster, write
admissions1, eeStu5application, read
registrar2, csStu2trans, read
csStu5, cs602gradebook, readMyScores
admissions1, application2, read
csStu2, cs601gradebook, readMyScores
csChair, csStu5trans, read
admissions1, application1, setStatus
csStu1, csStu1trans, read
admissions1, csStu2application, setStatus
admissions1, eeStu4application, read
csStu2, cs101gradebook, addScore
csFac1, cs101gradebook, changeScore
eeStu5, eeStu5trans, read
csChair, csStu4trans, read
admissions2, csStu1application, read
admissions2, csStu2application, setStatus
admissions2, eeStu2application, setStatus
registrar1, cs101roster, write
admissions1, csStu4application, read
registrar2, cs601roster, read
registrar1, cs101roster, read
csStu3, csStu3trans, read
applicant1, application1, checkStatus
csFac1, cs101gradebook, readScore
eeFac2, ee601gradebook, addScore
eeStu3, eeStu3trans, read
registrar1, eeStu4trans, read
admissions2, eeStu4application, setStatus
eeFac1, ee101gradebook, addScore
registrar2, eeStu2trans, read
