rule(role [ {customer}, registered [ {False}; ; {view}; uid [ recipients) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {helpdesk}; ; {search readMetaInfo}; uid [ recipients) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {helpdesk}; isConfidential [ {False}; {view}; tenant = tenant) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {admin}; isConfidential [ {False}; {view}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, registered [ {True}, tenant [ {largeBank}; ; {view}; supervisee ] owner) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, tenant [ {largeBank}; ; {view}; projects ] rid) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {largeBankSales}; type [ {invoice}; {send view search}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {largeBankICT}; type [ {bankingNote}; {send readMetaInfo}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, tenant [ {largeBank}, payrollingPermissions [ {True}; type [ {paycheck}; {send view}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {largeBankSales}; type [ {salesOffer}; {send}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, tenant [ {largeBank}, position [ {officeManager seniorOfficeManager}; ; {send}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {largeBankAudit}; type [ {invoice salesOffer}, containsPersonalInfo [ {False}; {view}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {largeBankLeasingCustomerCare}; type [ {trafficFine}; {view}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {largeBankLeasingSales largeBankLeasingCustomerCare}; type [ {invoice}; {send}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, position [ {secretary director}; ; {view}; office = office) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {customer}, department [ {carLeaserAccounting}; type [ {invoice}; {view}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {customer}, department [ {ictProviderSecretary}; type [ {invoice}; {view}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {newsAgencyAudit}; type [ {invoice salesOffer contract paycheck}; {view}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {europeRegionHR}; type [ {contract}; {send}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {londonOfficeHR}; type [ {contract}; {send}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {londonOfficeSales}; type [ {invoice}; {send}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {londonOfficeSales}; type [ {invoice}; {view}; department = department) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {resellerCustomer}; ; {view}; uid [ recipients) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {employee}, department [ {resellerAccounting}; type [ {invoice}; {send}; ) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
rule(role [ {customer}, tenant [ {privateReceiver}; ; {view}; uid [ recipients) : ('rule(adminRoles [ {planner}]; type [ {schedule}; {read}; projects ] project)', 0.0)
