
===============================================================
ITERATION : 2
===============================================================
rule(adminRoles={planner}, department=dept1; type=schedule, project=proj11, department=dept1; {read}; )
rule(adminRoles={planner}, department=dept2; type=schedule, project=proj22, department=dept2; {read}; )
rule(adminRoles={auditor}, projects={proj11 proj12}; type=schedule, project=proj11, department=dept1; {read}; )
rule(adminRoles={auditor}, projects={proj21 proj22}; type=schedule, project=proj22, department=dept2; {read}; )
rule(adminRoles={accountant}, projects={proj11 proj12}; type=schedule, project=proj11, department=dept1; {read}; )
rule(adminRoles={accountant}, projects={proj21 proj22}; type=schedule, project=proj22, department=dept2; {read}; )
rule(projects={proj11}, projectsLed={proj11}; type=budget, project=proj11, department=dept1; {write}; )
rule(projects={proj12}, projectsLed={proj12}; type=budget, project=proj12, department=dept1; {write}; )
rule(projects={proj21}, projectsLed={proj21}; type=budget, project=proj21, department=dept2; {write}; )
rule(projects={proj22}, projectsLed={proj22}; type=budget, project=proj22, department=dept2; {write}; )
rule(expertise={design}, isEmployee=True, tasks={proj11task1a proj11task1propa}; type=task, project=proj11, department=dept1, expertise={design}, proprietary=False; {read}; )
rule(expertise={coding}, isEmployee=True, tasks={proj11task2a proj11task2propa}; type=task, project=proj11, department=dept1, expertise={coding}, proprietary=False; {read}; )
rule(adminRoles={manager}, department=dept1; type=schedule, project=proj12, department=dept1; {write}; )
rule(adminRoles={manager}, department=dept2; type=schedule, project=proj22, department=dept2; {write}; )
rule(expertise={design}, isEmployee=False, tasks={proj12task1a proj12task1propa}; type=task, project=proj12, department=dept1, expertise={design}, proprietary=False; {read}; )
rule(expertise={coding}, isEmployee=False, tasks={proj12task2a proj12task2propa}; type=task, project=proj12, department=dept1, expertise={coding}, proprietary=False; {read}; )
rule(adminRoles={projectLeader}, projects={proj11}; type=schedule, project=proj11, department=dept1; {write}; )
rule(adminRoles={projectLeader}, projects={proj12}; type=schedule, project=proj12, department=dept1; {write}; )
rule(expertise={design}, isEmployee=True, tasks={proj21task1a proj21task1propa}; type=task, project=proj21, department=dept2, expertise={design}, proprietary=False; {read}; )
rule(expertise={coding}, isEmployee=True, tasks={proj21task2a proj21task2propa}; type=task, project=proj21, department=dept2, expertise={coding}, proprietary=False; {read}; )
rule(adminRoles={projectLeader}, projects={proj21}; type=schedule, project=proj21, department=dept2; {write}; )
rule(adminRoles={projectLeader}, projects={proj22}; type=schedule, project=proj22, department=dept2; {write}; )
