
===============================================================
ITERATION : 2
===============================================================

===============================================================
ITERATION : 1
===============================================================

===============================================================
ITERATION : 0
===============================================================
rule(position [ {technician}; type [ {task}; {view}; assignedTenant = tenant)
rule(position [ {technician}; type [ {task}; {complete}; assignedTechnician = uid, certifications > requiredCertifications)
rule(position [ {workforceManager}; type [ {task}; {view}; assignedTenant = tenant)
rule(position [ {workforceManager}; type [ {task}; {complete}; managedStaff ] assignedTechnician)
rule(position [ {helpdeskOperator}; type [ {workOrder}; {modify delete}; assignedTenant = tenant)
rule(position [ {helpdeskOperator}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant)
rule(position [ {maintenanceManager}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant)
rule(position [ {salesManager}; type [ {workOrder}; {view}; assignedTenant = tenant)
rule(position [ {helpdeskManager}; type [ {workOrder}; {view}; assignedTenant = tenant)
rule(position [ {applicationAdmin}; type [ {contract}; {createAppointment}; )
rule(position [ {applicationAdmin}; type [ {workOrder}; {modify delete}; )
rule(position [ {warehouseManager}; type [ {resourceRequest}; {view complete}; assignedTenant = tenant)
rule(position [ {warehouseManager}; type [ {stockRefillRequest}; {markComplete}; assignedTenant = tenant)
rule(position [ {warehouseOperator}; type [ {resourceRequest}; {view complete}; assignedEmployee = uid)
rule(position [ {salesManager}; type [ {stockRefillRequest}; {receive}; assignedTenant = tenant)
