
===============================================================
ITERATION : 2
===============================================================

===============================================================
ITERATION : 1
===============================================================

===============================================================
ITERATION : 0
===============================================================
rule(position [ {technician}; type [ {task}; {view}; )
rule(position [ {technician}; type [ {task}; {complete}; certifications > requiredCertifications, uid = assignedTechnician)
rule(position [ {workforceManager}; type [ {task}; {view}; )
rule(position [ {workforceManager}; type [ {task}; {complete}; managedStaff ] assignedTechnician)
rule(position [ {helpdeskOperator}; type [ {workOrder}; {modify delete}; assignedTenant = tenant)
rule(position [ {helpdeskOperator}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant)
rule(position [ {helpdeskManager}; type [ {workOrder}; {view}; assignedTenant = tenant)
rule(position [ {salesManager}; type [ {workOrder}; {view}; assignedTenant = tenant)
rule(position [ {salesManager}; type [ {stockRefillRequest}; {receive}; assignedTenant = tenant)
rule(position [ {warehouseManager}; type [ {resourceRequest}; {view complete}; managedStaff ] assignedEmployee)
rule(position [ {warehouseManager}; type [ {stockRefillRequest}; {markComplete}; managedStaff ] assignedEmployee)
rule(position [ {warehouseOperator}; type [ {resourceRequest}; {view complete}; uid = assignedEmployee)
rule(position [ {applicationAdmin}; type [ {contract}; {createAppointment}; )
rule(position [ {applicationAdmin}; type [ {workOrder}; {modify delete}; isAppointment [ {True})
rule(position [ {maintenanceManager}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant)
