
===============================================================
ITERATION : 2
===============================================================

===============================================================
ITERATION : 1
===============================================================

===============================================================
ITERATION : 0
===============================================================
rule(position [ {technician}; type [ {task}; {view}; assignedTenant = tenant, assignedRegion = resourceRegion, certifications > requiredCertifications)
rule(position [ {technician}; type [ {task}; {view complete}; assignedTenant = tenant, assignedRegion = resourceRegion, uid = assignedTechnician)
rule(position [ {workforceManager}; type [ {task}; {view}; assignedTenant = tenant, assignedRegion = resourceRegion)
rule(position [ {workforceManager}; type [ {task}; {complete}; managedStaff ] assignedTechnician)
rule(position [ {helpdeskOperator}; type [ {workOrder}; {modify delete}; assignedTenant = tenant, assignedRegion = resourceRegion)
rule(position [ {helpdeskOperator}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant, assignedRegion = resourceRegion)
rule(position [ {helpdeskManager}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant, assignedRegion = resourceRegion)
rule(position [ {helpdeskManager}; type [ {workOrder}; {view}; assignedTenant = tenant, assignedRegion = resourceRegion)
rule(position [ {salesManager}; type [ {workOrder}; {view}; assignedTenant = tenant)
rule(position [ {salesManager}; type [ {stockRefillRequest}; {receive}; assignedTenant = tenant)
rule(position [ {salesManager}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant)
rule(position [ {maintenanceManager}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant)
rule(position [ {applicationAdmin}; type [ {contract}; {createAppointment}; )
rule(position [ {applicationAdmin}; type [ {workOrder}, isAppointment [ {True}; {modify delete}; )
rule(position [ {warehouseOperator}; type [ {resourceRequest}; {view complete}; uid = assignedEmployee)
rule(position [ {warehouseManager}; type [ {resourceRequest}; {view complete}; managedStaff ] assignedEmployee)
rule(position [ {warehouseManager}; type [ {stockRefillRequest}; {markComplete}; )
