
===============================================================
ITERATION : 2
===============================================================

===============================================================
ITERATION : 1
===============================================================

===============================================================
ITERATION : 0
===============================================================
rule(position [ {technician workforceManager}; type [ {task}; {view}; )
rule(position [ {workforceManager}; type [ {task}; {complete}; managedStaff ] assignedTechnician)
rule(position [ {technician}; type [ {task}; {complete}; uid = assignedTechnician)
rule(position [ {helpdeskOperator}; type [ {workOrder}; {modify delete}; )
rule(position [ {helpdeskOperator}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; )
rule(position [ {applicationAdmin}; type [ {contract}; {createAppointment}; )
rule(position [ {applicationAdmin}; type [ {workOrder}; {modify delete}; )
rule(position [ {salesManager}; type [ {workOrder}; {view}; assignedTenant = tenant)
rule(position [ {warehouseManager}; type [ {stockRefillRequest}; {markComplete}; )
rule(position [ {warehouseManager}; type [ {resourceRequest}; {view complete}; managedStaff ] assignedEmployee)
rule(position [ {warehouseOperator}; type [ {resourceRequest}; {view complete}; uid = assignedEmployee)
rule(position [ {salesManager}; type [ {stockRefillRequest}; {receive}; assignedTenant = tenant)
