
===============================================================
ITERATION : 0
===============================================================

rule(position [ {helpdeskOperator}; type [ {workOrder}; {}; department = workforce, createdBy = uid, tenant = tenant)
rule(position [ {technician}; type [ {task}; {}; assignedTechnician = uid)
rule(position [ {workforceManager}, department [ {workforce}; type [ {task}; {}; assignedTenant = tenant, resourceRegion = assignedRegion, assignedEmployee = uid)
rule(position [ {workforceManager}, department [ {workforce}; type [ {task}; {}; resourceRegion = assignedRegion, assignedEmployee = uid, tenant = assignedTenant)
rule(position [ {workforceManager}; type [ {task}; {}; tenant = assignedTenant, department = workforce)
rule(position [ {workforceManager}; type [ {task}; {}; assignedEmployee = uid, provider = provider, department = workforce)
rule(position [ {technician}; type [ {task}; {}; requiredCertifications ] certifications, assignedTechnician = uid)
rule(position [ {technician}, department [ {workforce}; type [ {task}; {}; assignedEmployee = uid, tenant = tenant)
rule(position [ {technician}; type [ {task}; {}; assignedEmployee = uid, certifications ] requiredCertifications)
rule(position [ {technician}, department [ {workforce}; type [ {task}; {}; requiredCertifications ] certifications)
rule(position [ {workforceManager}; type [ {task}; {}; requiredCertifications ] certifications, assignedEmployee = uid, provider = provider, department = workforce)
rule(position [ {workforceManager}; type [ {task}; {}; tenant = assignedTenant)
rule(position [ {workforceManager}; type [ {task}; {}; requiredCertifications ] certifications)
rule(department [ {helpdesk}; type [ {contract}; {createRecurrentWorkOrder, createOneTimeWorkOrder}, tenantType [ {primary}; assignedTenant = tenant)
rule(department [ {maintenance}; type [ {contract}; {createRecurrentWorkOrder, createOneTimeWorkOrder}, tenantType [ {primary}; assignedTenant = tenant)
rule(position [ {salesManager}; type [ {workOrder}; {}; tenant = assignedTenant, resourceRegion = assignedRegion, department = workforce)
rule(department [ {warehouse}; type [ {stockRefillRequest}, department [ {warehouse}; {markComplete}; assignedEmployee = uid)
rule(department [ {warehouse}; type [ {resourceRequest}, department [ {warehouse}; {complete}; assignedEmployee = uid)
rule(position [ {technician}, certifications ] {telcoCertifiedTechnician}; type [ {workOrder}; {}; requiredCertifications ] {telcoCertifiedTechnician}, assignedTechnician = uid, tenant = telco)
