Commong lines / Lines that are correct: 35
anesDoc1, carPat1HR, addItem
anesDoc1, oncPat1HR, addItem
carAgent1, carPat2noteItem, read
carDoc1, carPat1HR, addItem
carDoc1, carPat1carItem, read
carDoc2, carPat1carItem, read
carDoc2, carPat2HR, addItem
carDoc2, carPat2carItem, read
carNurse1, carPat1HR, addItem
carNurse1, carPat1nursingItem, read
carNurse1, carPat2HR, addItem
carNurse2, carPat1HR, addItem
carNurse2, carPat2HR, addItem
carNurse2, carPat2nursingItem, read
carPat1, carPat1noteItem, read
doc1, oncPat2oncItem, read
doc2, carPat2carItem, read
oncAgent1, oncPat2noteItem, read
oncDoc1, oncPat1HR, addItem
oncDoc1, oncPat1oncItem, read
oncDoc1, oncPat2HR, addItem
oncDoc1, oncPat2oncItem, read
oncDoc2, oncPat1HR, addItem
oncDoc2, oncPat1oncItem, read
oncDoc3, oncPat2HR, addItem
oncDoc3, oncPat2oncItem, read
oncDoc4, oncPat2HR, addItem
oncDoc4, oncPat2oncItem, read
oncNurse1, oncPat1HR, addItem
oncNurse1, oncPat2HR, addItem
oncNurse1, oncPat2nursingItem, read
oncNurse2, oncPat1HR, addItem
oncNurse2, oncPat1nursingItem, read
oncNurse2, oncPat2HR, addItem
oncPat1, oncPat1noteItem, read

Only in ACL 1 (under permissions): 8
carAgent1, carPat2HR, addNote
carAgent2, carPat2HR, addNote
carPat1, carPat1HR, addNote
carPat2, carPat2HR, addNote
oncAgent1, oncPat2HR, addNote
oncAgent2, oncPat2HR, addNote
oncPat1, oncPat1HR, addNote
oncPat2, oncPat2HR, addNote

Only in ACL 2 (over permissions): 637
anesDoc1, carPat1HR, read
anesDoc1, carPat1carItem, addItem
anesDoc1, carPat1carItem, read
anesDoc1, carPat1noteItem, addItem
anesDoc1, carPat1noteItem, read
anesDoc1, carPat1nursingItem, addItem
anesDoc1, carPat1nursingItem, read
anesDoc1, carPat2HR, addItem
anesDoc1, carPat2HR, read
anesDoc1, carPat2carItem, addItem
anesDoc1, carPat2carItem, read
anesDoc1, carPat2noteItem, addItem
anesDoc1, carPat2noteItem, read
anesDoc1, carPat2nursingItem, addItem
anesDoc1, carPat2nursingItem, read
anesDoc1, oncPat1HR, read
anesDoc1, oncPat1noteItem, addItem
anesDoc1, oncPat1noteItem, read
anesDoc1, oncPat1nursingItem, addItem
anesDoc1, oncPat1nursingItem, read
anesDoc1, oncPat1oncItem, addItem
anesDoc1, oncPat1oncItem, read
anesDoc1, oncPat2HR, addItem
anesDoc1, oncPat2HR, read
anesDoc1, oncPat2noteItem, addItem
anesDoc1, oncPat2noteItem, read
anesDoc1, oncPat2nursingItem, addItem
anesDoc1, oncPat2nursingItem, read
anesDoc1, oncPat2oncItem, addItem
anesDoc1, oncPat2oncItem, read
carAgent1, carPat1HR, addItem
carAgent1, carPat1HR, read
carAgent1, carPat1carItem, addItem
carAgent1, carPat1carItem, read
carAgent1, carPat1noteItem, addItem
carAgent1, carPat1noteItem, read
carAgent1, carPat1nursingItem, addItem
carAgent1, carPat1nursingItem, read
carAgent1, carPat2HR, addItem
carAgent1, carPat2HR, read
carAgent1, carPat2carItem, addItem
carAgent1, carPat2carItem, read
carAgent1, carPat2noteItem, addItem
carAgent1, carPat2nursingItem, addItem
carAgent1, carPat2nursingItem, read
carAgent1, oncPat1HR, addItem
carAgent1, oncPat1HR, read
carAgent1, oncPat1noteItem, addItem
carAgent1, oncPat1noteItem, read
carAgent1, oncPat1nursingItem, addItem
carAgent1, oncPat1nursingItem, read
carAgent1, oncPat1oncItem, addItem
carAgent1, oncPat1oncItem, read
carAgent1, oncPat2HR, addItem
carAgent1, oncPat2HR, read
carAgent1, oncPat2noteItem, addItem
carAgent1, oncPat2noteItem, read
carAgent1, oncPat2nursingItem, addItem
carAgent1, oncPat2nursingItem, read
carAgent1, oncPat2oncItem, addItem
carAgent1, oncPat2oncItem, read
carAgent2, carPat1HR, addItem
carAgent2, carPat1HR, read
carAgent2, carPat1carItem, addItem
carAgent2, carPat1carItem, read
carAgent2, carPat1noteItem, addItem
carAgent2, carPat1noteItem, read
carAgent2, carPat1nursingItem, addItem
carAgent2, carPat1nursingItem, read
carAgent2, carPat2HR, addItem
carAgent2, carPat2HR, read
carAgent2, carPat2carItem, addItem
carAgent2, carPat2carItem, read
carAgent2, carPat2noteItem, addItem
carAgent2, carPat2noteItem, read
carAgent2, carPat2nursingItem, addItem
carAgent2, carPat2nursingItem, read
carAgent2, oncPat1HR, addItem
carAgent2, oncPat1HR, read
carAgent2, oncPat1noteItem, addItem
carAgent2, oncPat1noteItem, read
carAgent2, oncPat1nursingItem, addItem
carAgent2, oncPat1nursingItem, read
carAgent2, oncPat1oncItem, addItem
carAgent2, oncPat1oncItem, read
carAgent2, oncPat2HR, addItem
carAgent2, oncPat2HR, read
carAgent2, oncPat2noteItem, addItem
carAgent2, oncPat2noteItem, read
carAgent2, oncPat2nursingItem, addItem
carAgent2, oncPat2nursingItem, read
carAgent2, oncPat2oncItem, addItem
carAgent2, oncPat2oncItem, read
carDoc1, carPat1HR, read
carDoc1, carPat1carItem, addItem
carDoc1, carPat1noteItem, addItem
carDoc1, carPat1noteItem, read
carDoc1, carPat1nursingItem, addItem
carDoc1, carPat1nursingItem, read
carDoc1, carPat2HR, addItem
carDoc1, carPat2HR, read
carDoc1, carPat2carItem, addItem
carDoc1, carPat2carItem, read
carDoc1, carPat2noteItem, addItem
carDoc1, carPat2noteItem, read
carDoc1, carPat2nursingItem, addItem
carDoc1, carPat2nursingItem, read
carDoc1, oncPat1HR, addItem
carDoc1, oncPat1HR, read
carDoc1, oncPat1noteItem, addItem
carDoc1, oncPat1noteItem, read
