rule(provider [ {eWorkforce}, position [ {helpdeskOperator}; type [ {contract}, contractStatus [ {active}, tenantType [ {primary}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, position [ {helpdeskOperator}; type [ {workOrder}, contractStatus [ {active}, tenantType [ {primary}; {modify delete}; assignedTenant = tenant) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, position [ {applicationAdmin}; type [ {contract}; {createAppointment}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, position [ {applicationAdmin}; type [ {workOrder}, isAppointment [ {True}; {modify delete}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, department [ {workforce}; type [ {task}; {view}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}; type [ {task}, contractStatus [ {active}; {view}; department = department) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, position [ {technician}; type [ {task}; {view complete}; uid = assignedTechnician) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, position [ {workforceManager}; type [ {task}; {view complete}; managedStaff ] assignedTechnician) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, position [ {warehouseManager}; type [ {stockRefillRequest}; {markComplete}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, position [ {warehouseOperator}; type [ {resourceRequest}; {view complete}; uid = assignedEmployee) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {eWorkforce}, position [ {warehouseManager}; type [ {resourceRequest}; {view complete}; managedStaff ] assignedEmployee) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {powerProtection}, position [ {salesManager}; type [ {contract}, tenant [ {powerProtection}; {createOneTimeWorkOrder}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {powerProtection}, position [ {salesManager}; type [ {workOrder}, tenant [ {powerProtection}; {view}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {powerProtection}, position [ {maintenanceManager}; type [ {contract}, tenant [ {powerProtection}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {powerProtection}, group [ {provisioning}; type [ {stockRefillRequest}, tenant [ {powerProtection}; {receive}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {telco}, isCustomerSupport [ {True}; type [ {contract}, tenant [ {telco}; {createOneTimeWorkOrder}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {telco}, isCustomerSupport [ {True}, group [ {companySupport}, position [ {salesManager maintenanceManager}; type [ {contract}, tenant [ {telco}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {telco}, position [ {maintenanceManager}, isCustomerSupport [ {True}, group [ {residentialSupport}; type [ {contract}, tenant [ {telco}; {createRecurrentWorkOrder}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {telco}, group [ {techSupport}; type [ {stockRefillRequest}, tenant [ {telco}; {receive}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {externalHelpdeskSupplier}, position [ {helpdeskOperator}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {externalHelpdeskSupplier}, position [ {helpdeskOperator}; type [ {workOrder}; {modify}; ) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {externalHelpdeskSupplier}, position [ {helpdeskManager}; type [ {workOrder}; {view}; managedStaff ] createdBy) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {externalWorkforceSupplier}, position [ {workforceManager technician}; type [ {task}, contractStatus [ {active}; {view}; department = department) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {externalWorkforceSupplier}, position [ {technician}; type [ {task}; {view complete}; uid = assignedTechnician) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {externalWorkforceSupplier}, position [ {workforceManager}; type [ {task}; {view complete}; managedStaff ] assignedTechnician) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {subcontractor}, position [ {workforceManager technician}; type [ {task}, contractStatus [ {active}; {view}; department = department) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {subcontractor}, position [ {technician}; type [ {task}; {view complete}; uid = assignedTechnician) : ('EMPTY_BY_DEFAULT', 0)
rule(provider [ {subcontractor}, position [ {workforceManager}; type [ {task}; {view complete}; managedStaff ] assignedTechnician) : ('EMPTY_BY_DEFAULT', 0)
