Commong lines / Lines that are correct: 0

Only in ACL 1 (under permissions): 15858
appadmin001, contract001, createAppointment
appadmin001, contract002, createAppointment
appadmin001, contract003, createAppointment
appadmin001, contract004, createAppointment
appadmin001, contract005, createAppointment
appadmin001, contract006, createAppointment
appadmin001, contract007, createAppointment
appadmin001, contract008, createAppointment
appadmin001, contract009, createAppointment
appadmin001, contract010, createAppointment
appadmin001, workorder006, delete
appadmin001, workorder006, modify
appadmin001, workorder018, delete
appadmin001, workorder018, modify
hdmgr001, workorder002, view
hdmgr002, workorder026, view
hdmgr002, workorder034, view
hdmgr007, workorder004, view
hdmgr007, workorder014, view
hdmgr013, workorder010, view
hdmgr015, workorder007, view
hdmgr015, workorder022, view
hdmgr018, workorder027, view
hdmgr018, workorder032, view
hdmgr026, workorder028, view
hdmgr026, workorder031, view
hdmgr026, workorder038, view
hdmgr026, workorder041, view
hdmgr026, workorder042, view
hdmgr026, workorder044, view
hdmgr027, workorder009, view
hdop001, contract001, createOneTimeWorkOrder
hdop001, contract001, createRecurrentWorkOrder
hdop001, contract002, createOneTimeWorkOrder
hdop001, contract002, createRecurrentWorkOrder
hdop001, contract003, createOneTimeWorkOrder
hdop001, contract003, createRecurrentWorkOrder
hdop001, contract004, createOneTimeWorkOrder
hdop001, contract004, createRecurrentWorkOrder
hdop001, contract005, createOneTimeWorkOrder
hdop001, contract005, createRecurrentWorkOrder
hdop001, contract006, createOneTimeWorkOrder
hdop001, contract006, createRecurrentWorkOrder
hdop001, contract007, createOneTimeWorkOrder
hdop001, contract007, createRecurrentWorkOrder
hdop001, contract008, createOneTimeWorkOrder
hdop001, contract008, createRecurrentWorkOrder
hdop001, contract009, createOneTimeWorkOrder
hdop001, contract009, createRecurrentWorkOrder
hdop001, contract010, createOneTimeWorkOrder
hdop001, contract010, createRecurrentWorkOrder
hdop001, workorder001, modify
hdop001, workorder002, modify
hdop001, workorder003, modify
hdop001, workorder004, modify
hdop001, workorder005, modify
hdop001, workorder006, modify
hdop001, workorder007, modify
hdop001, workorder008, modify
hdop001, workorder009, modify
hdop001, workorder010, modify
hdop001, workorder011, modify
hdop001, workorder012, modify
hdop001, workorder013, modify
hdop001, workorder014, modify
hdop001, workorder015, modify
hdop001, workorder016, modify
hdop001, workorder017, modify
hdop001, workorder018, modify
hdop001, workorder019, modify
hdop001, workorder020, modify
hdop001, workorder021, modify
hdop001, workorder022, modify
hdop001, workorder023, modify
hdop001, workorder024, modify
hdop001, workorder025, modify
hdop001, workorder026, modify
hdop001, workorder027, modify
hdop001, workorder028, modify
hdop001, workorder029, modify
hdop001, workorder030, modify
hdop001, workorder031, modify
hdop001, workorder032, modify
hdop001, workorder033, modify
hdop001, workorder034, modify
hdop001, workorder035, modify
hdop001, workorder036, modify
hdop001, workorder037, modify
hdop001, workorder038, modify
hdop001, workorder039, modify
hdop001, workorder040, modify
hdop001, workorder041, modify
hdop001, workorder042, modify
hdop001, workorder043, modify
hdop001, workorder044, modify
hdop001, workorder045, modify
hdop001, workorder046, modify
hdop001, workorder047, modify
hdop001, workorder048, modify
hdop001, workorder049, modify
hdop001, workorder050, modify
hdop002, contract001, createOneTimeWorkOrder
hdop002, contract001, createRecurrentWorkOrder
hdop002, contract002, createOneTimeWorkOrder
hdop002, contract002, createRecurrentWorkOrder
hdop002, contract003, createOneTimeWorkOrder
hdop002, contract003, createRecurrentWorkOrder
hdop002, contract004, createOneTimeWorkOrder
hdop002, contract004, createRecurrentWorkOrder
hdop002, contract005, createOneTimeWorkOrder
hdop002, contract005, createRecurrentWorkOrder
hdop002, contract006, createOneTimeWorkOrder
hdop002, contract006, createRecurrentWorkOrder
hdop002, contract007, createOneTimeWorkOrder
hdop002, contract007, createRecurrentWorkOrder
hdop002, contract008, createOneTimeWorkOrder
hdop002, contract008, createRecurrentWorkOrder
hdop002, contract009, createOneTimeWorkOrder
hdop002, contract009, createRecurrentWorkOrder
hdop002, contract010, createOneTimeWorkOrder
hdop002, contract010, createRecurrentWorkOrder
hdop002, workorder001, modify
hdop002, workorder002, modify
hdop002, workorder003, modify
hdop002, workorder004, modify
hdop002, workorder005, modify
hdop002, workorder006, modify
hdop002, workorder007, modify
hdop002, workorder008, modify
hdop002, workorder009, modify
hdop002, workorder010, modify
hdop002, workorder011, modify
hdop002, workorder012, modify
hdop002, workorder013, modify
hdop002, workorder014, modify
hdop002, workorder015, modify
hdop002, workorder016, modify
hdop002, workorder017, modify
hdop002, workorder018, modify
hdop002, workorder019, modify
hdop002, workorder020, modify
hdop002, workorder021, modify
hdop002, workorder022, modify
hdop002, workorder023, modify
hdop002, workorder024, modify
hdop002, workorder025, modify
hdop002, workorder026, modify
hdop002, workorder027, modify
hdop002, workorder028, modify
hdop002, workorder029, modify
hdop002, workorder030, modify
hdop002, workorder031, modify
hdop002, workorder032, modify
hdop002, workorder033, modify
hdop002, workorder034, modify
hdop002, workorder035, modify
hdop002, workorder036, modify
hdop002, workorder037, modify
hdop002, workorder038, modify
hdop002, workorder039, modify
hdop002, workorder040, modify
hdop002, workorder041, modify
hdop002, workorder042, modify
hdop002, workorder043, modify
hdop002, workorder044, modify
hdop002, workorder045, modify
hdop002, workorder046, modify
hdop002, workorder047, modify
hdop002, workorder048, modify
hdop002, workorder049, modify
hdop002, workorder050, modify
hdop003, contract001, createOneTimeWorkOrder
hdop003, contract001, createRecurrentWorkOrder
hdop003, contract002, createOneTimeWorkOrder
hdop003, contract002, createRecurrentWorkOrder
hdop003, contract003, createOneTimeWorkOrder
hdop003, contract003, createRecurrentWorkOrder
hdop003, contract004, createOneTimeWorkOrder
hdop003, contract004, createRecurrentWorkOrder
hdop003, contract005, createOneTimeWorkOrder
hdop003, contract005, createRecurrentWorkOrder
hdop003, contract006, createOneTimeWorkOrder
hdop003, contract006, createRecurrentWorkOrder
hdop003, contract007, createOneTimeWorkOrder
hdop003, contract007, createRecurrentWorkOrder
hdop003, contract008, createOneTimeWorkOrder
hdop003, contract008, createRecurrentWorkOrder
hdop003, contract009, createOneTimeWorkOrder
hdop003, contract009, createRecurrentWorkOrder
hdop003, contract010, createOneTimeWorkOrder
hdop003, contract010, createRecurrentWorkOrder
hdop003, workorder001, modify
hdop003, workorder002, modify
hdop003, workorder003, modify
hdop003, workorder004, modify
hdop003, workorder005, modify
hdop003, workorder006, modify
hdop003, workorder007, modify
hdop003, workorder008, modify
hdop003, workorder009, modify
hdop003, workorder010, modify
hdop003, workorder011, modify
hdop003, workorder012, modify
hdop003, workorder013, modify
hdop003, workorder014, modify
hdop003, workorder015, modify
hdop003, workorder016, modify
hdop003, workorder017, modify
hdop003, workorder018, modify
hdop003, workorder019, modify
hdop003, workorder020, modify
hdop003, workorder021, modify
hdop003, workorder022, modify
hdop003, workorder023, modify
hdop003, workorder024, modify
hdop003, workorder025, modify
hdop003, workorder026, modify
hdop003, workorder027, modify
hdop003, workorder028, modify
hdop003, workorder029, modify
hdop003, workorder030, modify
hdop003, workorder031, modify
hdop003, workorder032, modify
hdop003, workorder033, modify
hdop003, workorder034, modify
hdop003, workorder035, modify
hdop003, workorder036, modify
hdop003, workorder037, modify
hdop003, workorder038, modify
hdop003, workorder039, modify
hdop003, workorder040, modify
hdop003, workorder041, modify
hdop003, workorder042, modify
hdop003, workorder043, modify
hdop003, workorder044, modify
hdop003, workorder045, modify
hdop003, workorder046, modify
hdop003, workorder047, modify
hdop003, workorder048, modify
hdop003, workorder049, modify
hdop003, workorder050, modify
hdop004, contract001, createOneTimeWorkOrder
hdop004, contract001, createRecurrentWorkOrder
hdop004, contract002, createOneTimeWorkOrder
hdop004, contract002, createRecurrentWorkOrder
hdop004, contract003, createOneTimeWorkOrder
hdop004, contract003, createRecurrentWorkOrder
hdop004, contract004, createOneTimeWorkOrder
hdop004, contract004, createRecurrentWorkOrder
hdop004, contract005, createOneTimeWorkOrder
hdop004, contract005, createRecurrentWorkOrder
hdop004, contract006, createOneTimeWorkOrder
hdop004, contract006, createRecurrentWorkOrder
hdop004, contract007, createOneTimeWorkOrder
hdop004, contract007, createRecurrentWorkOrder
hdop004, contract008, createOneTimeWorkOrder
hdop004, contract008, createRecurrentWorkOrder
hdop004, contract009, createOneTimeWorkOrder
hdop004, contract009, createRecurrentWorkOrder
hdop004, contract010, createOneTimeWorkOrder
hdop004, contract010, createRecurrentWorkOrder
hdop004, workorder001, modify
hdop004, workorder002, modify
hdop004, workorder003, modify
hdop004, workorder004, modify
hdop004, workorder005, modify
hdop004, workorder006, modify
hdop004, workorder007, modify
hdop004, workorder008, modify
hdop004, workorder009, modify
hdop004, workorder010, modify
hdop004, workorder011, modify
hdop004, workorder012, modify
hdop004, workorder013, modify
hdop004, workorder014, modify
hdop004, workorder015, modify
hdop004, workorder016, modify
hdop004, workorder017, modify
hdop004, workorder018, modify
hdop004, workorder019, modify
hdop004, workorder020, modify
hdop004, workorder021, modify
hdop004, workorder022, modify
hdop004, workorder023, modify
hdop004, workorder024, modify
hdop004, workorder025, modify
hdop004, workorder026, modify
hdop004, workorder027, modify
hdop004, workorder028, modify
hdop004, workorder029, modify
hdop004, workorder030, modify
hdop004, workorder031, modify
hdop004, workorder032, modify
hdop004, workorder033, modify
hdop004, workorder034, modify
hdop004, workorder035, modify
hdop004, workorder036, modify
hdop004, workorder037, modify
hdop004, workorder038, modify
hdop004, workorder039, modify
hdop004, workorder040, modify
hdop004, workorder041, modify
hdop004, workorder042, modify
hdop004, workorder043, modify
hdop004, workorder044, modify
hdop004, workorder045, modify
