rule(provider [ {eWorkforce}, position [ {helpdeskOperator}; type [ {contract}, contractStatus [ {active}, tenantType [ {primary}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, position [ {helpdeskOperator}; type [ {workOrder}, contractStatus [ {active}, tenantType [ {primary}; {modify delete}; assignedTenant = tenant) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, position [ {applicationAdmin}; type [ {contract}; {createAppointment}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, position [ {applicationAdmin}; type [ {workOrder}, isAppointment [ {True}; {modify delete}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, department [ {workforce}; type [ {task}; {view}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}; type [ {task}, contractStatus [ {active}; {view}; department = department) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, position [ {technician}; type [ {task}; {view complete}; uid = assignedTechnician) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, position [ {workforceManager}; type [ {task}; {view complete}; managedStaff ] assignedTechnician) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, position [ {warehouseManager}; type [ {stockRefillRequest}; {markComplete}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, position [ {warehouseOperator}; type [ {resourceRequest}; {view complete}; uid = assignedEmployee) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {eWorkforce}, position [ {warehouseManager}; type [ {resourceRequest}; {view complete}; managedStaff ] assignedEmployee) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {powerProtection}, position [ {salesManager}; type [ {contract}, tenant [ {powerProtection}; {createOneTimeWorkOrder}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {powerProtection}, position [ {salesManager}; type [ {workOrder}, tenant [ {powerProtection}; {view}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {powerProtection}, position [ {maintenanceManager}; type [ {contract}, tenant [ {powerProtection}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {powerProtection}, group [ {provisioning}; type [ {stockRefillRequest}, tenant [ {powerProtection}; {receive}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {telco}, isCustomerSupport [ {True}; type [ {contract}, tenant [ {telco}; {createOneTimeWorkOrder}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {telco}, isCustomerSupport [ {True}, group [ {companySupport}, position [ {salesManager maintenanceManager}; type [ {contract}, tenant [ {telco}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {telco}, position [ {maintenanceManager}, isCustomerSupport [ {True}, group [ {residentialSupport}; type [ {contract}, tenant [ {telco}; {createRecurrentWorkOrder}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {telco}, group [ {techSupport}; type [ {stockRefillRequest}, tenant [ {telco}; {receive}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {externalHelpdeskSupplier}, position [ {helpdeskOperator}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {externalHelpdeskSupplier}, position [ {helpdeskOperator}; type [ {workOrder}; {modify}; ) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {externalHelpdeskSupplier}, position [ {helpdeskManager}; type [ {workOrder}; {view}; managedStaff ] createdBy) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {externalWorkforceSupplier}, position [ {workforceManager technician}; type [ {task}, contractStatus [ {active}; {view}; department = department) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {externalWorkforceSupplier}, position [ {technician}; type [ {task}; {view complete}; uid = assignedTechnician) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {externalWorkforceSupplier}, position [ {workforceManager}; type [ {task}; {view complete}; managedStaff ] assignedTechnician) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {subcontractor}, position [ {workforceManager technician}; type [ {task}, contractStatus [ {active}; {view}; department = department) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {subcontractor}, position [ {technician}; type [ {task}; {view complete}; uid = assignedTechnician) : ('rule(; taskId=122 ; ; view)', 0.0)
rule(provider [ {subcontractor}, position [ {workforceManager}; type [ {task}; {view complete}; managedStaff ] assignedTechnician) : ('rule(; taskId=122 ; ; view)', 0.0)
