rule(provider [ {eWorkforce}, position [ {helpdeskOperator}; type [ {contract}, contractStatus [ {active}, tenantType [ {primary}; {createOneTimeWorkOrder createRecurrentWorkOrder}; assignedTenant = tenant) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, position [ {helpdeskOperator}; type [ {workOrder}, contractStatus [ {active}, tenantType [ {primary}; {modify delete}; assignedTenant = tenant) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, position [ {applicationAdmin}; type [ {contract}; {createAppointment}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, position [ {applicationAdmin}; type [ {workOrder}, isAppointment [ {True}; {modify delete}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, department [ {workforce}; type [ {task}; {view}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}; type [ {task}, contractStatus [ {active}; {view}; department = department) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, position [ {technician}; type [ {task}; {view complete}; uid = assignedTechnician) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, position [ {workforceManager}; type [ {task}; {view complete}; managedStaff ] assignedTechnician) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, position [ {warehouseManager}; type [ {stockRefillRequest}; {markComplete}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, position [ {warehouseOperator}; type [ {resourceRequest}; {view complete}; uid = assignedEmployee) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {eWorkforce}, position [ {warehouseManager}; type [ {resourceRequest}; {view complete}; managedStaff ] assignedEmployee) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {powerProtection}, position [ {salesManager}; type [ {contract}, tenant [ {powerProtection}; {createOneTimeWorkOrder}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {powerProtection}, position [ {salesManager}; type [ {workOrder}, tenant [ {powerProtection}; {view}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {powerProtection}, position [ {maintenanceManager}; type [ {contract}, tenant [ {powerProtection}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {powerProtection}, group [ {provisioning}; type [ {stockRefillRequest}, tenant [ {powerProtection}; {receive}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {telco}, isCustomerSupport [ {True}; type [ {contract}, tenant [ {telco}; {createOneTimeWorkOrder}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {telco}, isCustomerSupport [ {True}, group [ {companySupport}, position [ {salesManager maintenanceManager}; type [ {contract}, tenant [ {telco}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {telco}, position [ {maintenanceManager}, isCustomerSupport [ {True}, group [ {residentialSupport}; type [ {contract}, tenant [ {telco}; {createRecurrentWorkOrder}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {telco}, group [ {techSupport}; type [ {stockRefillRequest}, tenant [ {telco}; {receive}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
rule(provider [ {externalHelpdeskSupplier}, position [ {helpdeskOperator}; type [ {contract}; {createOneTimeWorkOrder createRecurrentWorkOrder}; ) : ('rule(; subj] {role:.*}; {read,write,modifyNote,createNote,deleteNote,markNote,reclassNote,readNote}; class=class)', 0.0)
