rule(role [ {customer}, registered [ {False}; ; {view}; uid [ recipients) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.41666666666666663)
rule(role [ {helpdesk}; ; {search readMetaInfo}; uid [ recipients) : ('rule(role [ {helpdesk}; tenant = reseller}; {view}; type = trafficFine)', 0.25)
rule(role [ {helpdesk}; isConfidential [ {False}; {view}; tenant = tenant) : ('rule(role [ {helpdesk}; tenant = reseller}; {view}; type = trafficFine)', 0.5833333333333334)
rule(role [ {admin}; isConfidential [ {False}; {view}; ) : ('rule(role [ {admin}; tenant = europeRegion}; {view}; type = paycheck)', 0.5)
rule(role [ {employee}, registered [ {True}, tenant [ {largeBank}; ; {view}; supervisee ] owner) : ('rule(tenant = europeRegion; projects ] doc251; {view}; department = europeRegionHR, role = employee, recipients ] user231; type = contract, isConfidential = True)', 0.3611111111111111)
rule(role [ {employee}, tenant [ {largeBank}; ; {view}; projects ] rid) : ('rule(tenant = europeRegion; projects ] doc251; {view}; department = europeRegionHR, role = employee, recipients ] user231; type = contract, isConfidential = True)', 0.3611111111111111)
rule(role [ {employee}, department [ {largeBankSales}; type [ {invoice}; {send view search}; ) : ('rule(role [ {employee}; tenant = londonOffice, department = londonOfficeHR}; {send,view}; type = invoice)', 0.41666666666666663)
rule(role [ {employee}, department [ {largeBankICT}; type [ {bankingNote}; {send readMetaInfo}; ) : ('rule(role [ {employee}; recipients ] user230; {send}; owner = user230)', 0.375)
rule(role [ {employee}, tenant [ {largeBank}, payrollingPermissions [ {True}; type [ {paycheck}; {send view}; ) : ('rule(role [ {admin}; tenant = europeRegion}; {view,send}; type = salesOffer)', 0.3333333333333333)
rule(role [ {employee}, department [ {largeBankSales}; type [ {salesOffer}; {send}; ) : ('rule(role [ {employee}; recipients ] user230; {send}; owner = user230)', 0.5)
rule(role [ {employee}, tenant [ {largeBank}, position [ {officeManager seniorOfficeManager}; ; {send}; ) : ('rule(role [ {employee}; recipients ] user230; {send}; owner = user230)', 0.3333333333333333)
rule(role [ {employee}, department [ {largeBankAudit}; type [ {invoice salesOffer}, containsPersonalInfo [ {False}; {view}; ) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.5)
rule(role [ {employee}, department [ {largeBankLeasingCustomerCare}; type [ {trafficFine}; {view}; ) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.5)
rule(role [ {employee}, department [ {largeBankLeasingSales largeBankLeasingCustomerCare}; type [ {invoice}; {send}; ) : ('rule(role [ {employee}; recipients ] user230; {send}; owner = user230)', 0.5)
rule(role [ {employee}, position [ {secretary director}; ; {view}; office = office) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.5833333333333334)
rule(role [ {customer}, department [ {carLeaserAccounting}; type [ {invoice}; {view}; ) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.41666666666666663)
rule(role [ {customer}, department [ {ictProviderSecretary}; type [ {invoice}; {view}; ) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.41666666666666663)
rule(role [ {employee}, department [ {newsAgencyAudit}; type [ {invoice salesOffer contract paycheck}; {view}; ) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.5)
rule(role [ {employee}, department [ {europeRegionHR}; type [ {contract}; {send}; ) : ('rule(role [ {employee}; recipients ] user230; {send}; owner = user230)', 0.5)
rule(role [ {employee}, department [ {londonOfficeHR}; type [ {contract}; {send}; ) : ('rule(role [ {employee}; recipients ] user230; {send}; owner = user230)', 0.5)
rule(role [ {employee}, department [ {londonOfficeSales}; type [ {invoice}; {send}; ) : ('rule(role [ {employee}; recipients ] user230; {send}; owner = user230)', 0.5)
rule(role [ {employee}, department [ {londonOfficeSales}; type [ {invoice}; {view}; department = department) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.5833333333333334)
rule(role [ {employee}, department [ {resellerCustomer}; ; {view}; uid [ recipients) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.5)
rule(role [ {employee}, department [ {resellerAccounting}; type [ {invoice}; {send}; ) : ('rule(role [ {employee}; recipients ] user230; {send}; owner = user230)', 0.5)
rule(role [ {customer}, tenant [ {privateReceiver}; ; {view}; uid [ recipients) : ('rule(role [ {employee}; owner = user201; {view}; type = trafficFine)', 0.3333333333333333)
