rule(position [ {nurse}]; type [ {HRitem}], topics ] {nursing}, ward = ward; {read}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {doctor}], specialties ] {cardiology}; type [ {HRitem}], topics ] {cardiology}, ward = ward; {read}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {doctor}], specialties ] {oncology}; type [ {HRitem}], topics ] {oncology}, ward = ward; {read}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(; type [ {HRitem}], topics ] {note}; {read}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(agentFor ] patient; type [ {HRitem}], topics ] {note}; {read, addNote}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {patient}]; type [ {HR}], patient = patient; {addNote}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {agent}]; type [ {HR}], patient = agentFor; {addNote}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {nurse, doctor, agent, patient}]; type [ {HR}], ward = ward; {addItem, addNote}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {doctor}], specialties ] {anesthesiology}; type [ {HR}], treatingTeam = treatingTeam; {addItem}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {doctor}], specialties ] {cardiology}; type [ {HR}], treatingTeam = treatingTeam, patient = patient; {addItem}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {doctor}], specialties ] {oncology}; type [ {HR}], treatingTeam = treatingTeam, patient = patient; {addItem, read}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(author = uid; type [ {HRitem}]; {read}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {doctor}], specialties ] {cardiology}; type [ {HRitem}], patient = patient, topics ] {cardiology}; {addItem}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {doctor}], specialties ] {oncology}; type [ {HRitem}], patient = patient, topics ] {oncology}; {addItem}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
rule(position [ {nurse}]; type [ {HR}], patient = patient, ward = ward; {addItem}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.0)
