rule(position [ {nurse}; ward = ward; {read}; type = HRitem, topics ] {nursing}) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.25)
rule(position [ {doctor}; author = uid; {read}; type = HRitem) : ('rule(; type [ {HRitem}; {read}; uid=author)', 0.25)
rule(position [ {patient}; patient = uid; {read}; type = HRitem, topics ] {note}) : ('rule(; type [ {HRitem}; {read}; uid=author)', 0.25)
rule(position [ {agent}; agentFor ] patient; {read}; type = HRitem, topics ] {note}) : ('rule(; type [ {HRitem}; {read}; uid=author)', 0.25)
rule(position [ {doctor}; treatingTeam ] teams; {addItem}; type = HR) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.41666666666666663)
rule(position [ {nurse}; ward = ward; {addItem}; type = HR) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.5)
rule(agentFor ] patient; patient = agentFor; {addNote}; type = HR) : ('rule(; type [ {HR}; {addNote}; uid=patient)', 0.25)
rule(ward = ward; patient = uid; {addNote}; type = HR) : ('rule(; type [ {HR}; {addNote}; uid=patient)', 0.25)
rule(position [ {doctor}; treatingTeam ] teams, topics ] {oncology}; {read}; type = HRitem) : ('rule(; type [ {HRitem}; {read}; uid=author)', 0.25)
rule(position [ {doctor}; treatingTeam ] teams, topics ] {cardiology}; {read}; type = HRitem) : ('rule(; type [ {HRitem}; {read}; uid=author)', 0.25)
rule(position [ {doctor}; specialties ] {anesthesiology}; {addItem}; type = HR) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.41666666666666663)
rule(position [ {nurse}; ward = ward, patient = patient; {addItem}; type = HR) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.5)
rule(position [ {doctor}; specialties ] {oncology}, patient = patient; {addItem}; type = HR) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.41666666666666663)
rule(position [ {doctor}; specialties ] {cardiology}, patient = patient; {addItem}; type = HR) : ('rule(position [ {nurse}; type [ {HR}; {addItem}; ward=ward)', 0.41666666666666663)
rule(author = uid; patient = patient, topics ] {oncology}; {read}; type = HRitem) : ('rule(; type [ {HRitem}; {read}; uid=author)', 0.25)
rule(author = uid; patient = patient, topics ] {cardiology}; {read}; type = HRitem) : ('rule(; type [ {HRitem}; {read}; uid=author)', 0.25)
