oncDoc2, carPat1nursingItem, topics ] {oncology}, author = uid
oncDoc4, oncPat1nursingItem, topics ] {oncology}, treatingTeam = teams
anesDoc1, oncPat2oncItem, topics ] {cardiology}, author = uid
doc2, carPat1noteItem, topics ] {cardiology}, treatingTeam = teams
carNurse1, oncPat2nursingItem, topics ] {nursing}, patient = ward
anesDoc1, carPat2nursingItem, topics ] {cardiology}, author = uid
oncDoc4, oncPat2noteItem, topics ] {oncology}, treatingTeam = teams
carDoc2, carPat1carItem, topics ] {cardiology}, treatingTeam = teams
carDoc1, oncPat1nursingItem, topics ] {cardiology}, author = uid
anesDoc1, oncPat1noteItem, topics ] {cardiology}, treatingTeam = teams
oncDoc3, carPat2noteItem, topics ] {oncology}, author = uid
oncDoc1, carPat2carItem, topics ] {oncology}, author = uid
oncDoc4, carPat1nursingItem, topics ] {cardiology}, author = uid
oncNurse2, carPat1carItem, topics ] {nursing}, patient = ward
oncNurse2, carPat2noteItem, topics ] {nursing}, patient = ward
doc1, oncPat2noteItem, topics ] {cardiology}, author = uid
oncDoc4, oncPat2oncItem, topics ] {cardiology}, author = uid
oncDoc3, carPat1nursingItem, topics ] {oncology}, treatingTeam = teams
carNurse2, oncPat2nursingItem, topics ] {nursing}, patient = ward
carDoc1, oncPat1nursingItem, topics ] {oncology}, author = uid
oncDoc4, oncPat2nursingItem, topics ] {oncology}, treatingTeam = teams
doc1, oncPat2oncItem, topics ] {oncology}, author = uid
oncNurse1, oncPat1nursingItem, topics ] {nursing}, patient = ward
oncDoc4, oncPat2nursingItem, topics ] {oncology}, author = uid
carDoc2, carPat2noteItem, topics ] {oncology}, author = uid
doc1, oncPat2oncItem, topics ] {cardiology}, author = uid
carNurse2, carPat2HR, ward = ward
oncDoc1, oncPat2noteItem, topics ] {cardiology}, author = uid
oncDoc4, oncPat2nursingItem, topics ] {cardiology}, author = uid
oncDoc2, oncPat2oncItem, topics ] {oncology}, treatingTeam = teams
doc1, oncPat2oncItem, topics ] {oncology}, treatingTeam = teams
oncDoc3, carPat2carItem, topics ] {oncology}, treatingTeam = teams
carNurse2, oncPat1nursingItem, topics ] {nursing}, patient = ward
