registrar2, ee101roster, read
registrar1, ee601roster, read
registrar2, cs601roster, read
registrar2, cs101roster, write
registrar1, cs602roster, read
registrar2, ee601roster, write
registrar1, ee101roster, write
registrar2, cs602roster, write
registrar2, cs601roster, write
registrar2, ee601roster, read
registrar2, ee602roster, write
registrar2, cs602roster, read
registrar2, ee101roster, write
registrar1, cs601roster, write
registrar1, cs101roster, read
registrar1, cs101roster, write
registrar1, cs602roster, write
registrar2, cs101roster, read
registrar1, ee101roster, read
registrar1, cs601roster, read
registrar2, ee602roster, read
registrar1, ee602roster, read
registrar1, ee602roster, write
registrar1, ee601roster, write
