eeChair, eeStu4trans, read
eeFac2, ee601gradebook, readScore
eeStu3, ee602gradebook, readMyScores
admissions1, eeStu1application, setStatus
admissions2, eeStu1application, setStatus
admissions2, eeStu4application, read
registrar1, ee601roster, read
admissions2, csStu2application, setStatus
eeStu5, ee602gradebook, readMyScores
csChair, csStu4trans, read
csFac2, cs601gradebook, addScore
csStu4, cs601gradebook, readMyScores
admissions1, application1, setStatus
registrar1, csStu1trans, read
csFac2, cs601gradebook, changeScore
registrar1, ee101roster, write
registrar2, cs602roster, write
eeStu1, eeStu1application, checkStatus
eeStu2, ee602gradebook, addScore
admissions2, csStu4application, setStatus
admissions2, csStu1application, read
admissions1, application1, read
eeStu5, ee601gradebook, readMyScores
csChair, csStu3trans, read
csStu3, csStu3application, checkStatus
csChair, csStu2trans, read
csStu1, cs101gradebook, readMyScores
eeStu4, ee601gradebook, readMyScores
csStu1, csStu1trans, read
admissions2, csStu5application, setStatus
registrar2, eeStu4trans, read
eeChair, eeStu2trans, read
admissions1, application2, read
eeChair, eeStu5trans, read
eeStu4, eeStu4application, checkStatus
admissions2, application1, read
registrar2, csStu5trans, read
eeChair, eeStu1trans, read
registrar1, cs601roster, read
eeStu3, ee601gradebook, addScore
csFac1, cs101roster, read
registrar1, ee602roster, read
csFac2, cs601gradebook, readScore
registrar2, eeStu1trans, read
eeStu5, eeStu5application, checkStatus
eeStu3, eeStu3application, checkStatus
admissions2, eeStu3application, setStatus
eeStu2, eeStu2trans, read
admissions1, eeStu1application, read
registrar1, cs602roster, read
admissions2, application1, setStatus
csStu5, cs601gradebook, readMyScores
admissions2, csStu1application, setStatus
csStu2, cs602gradebook, readScore
registrar1, csStu5trans, read
csFac1, cs101gradebook, changeScore
admissions2, csStu5application, read
registrar2, ee601roster, read
registrar2, eeStu2trans, read
admissions1, csStu4application, setStatus
eeStu5, eeStu5trans, read
registrar1, eeStu2trans, read
csStu3, cs601gradebook, addScore
admissions1, application2, setStatus
registrar1, csStu4trans, read
admissions1, eeStu2application, setStatus
admissions1, eeStu5application, setStatus
csChair, csStu5trans, read
admissions1, eeStu3application, read
admissions1, csStu3application, setStatus
eeStu1, ee101gradebook, readMyScores
admissions2, csStu3application, read
eeStu4, eeStu4trans, read
admissions1, csStu5application, read
admissions1, eeStu3application, setStatus
registrar2, cs101roster, read
admissions1, csStu5application, setStatus
eeFac1, ee101gradebook, readScore
csFac1, cs101gradebook, assignGrade
registrar1, eeStu1trans, read
admissions2, application2, read
registrar2, cs602roster, read
eeStu2, ee101gradebook, readScore
eeStu3, eeStu3trans, read
registrar1, eeStu3trans, read
csChair, csStu1trans, read
admissions2, eeStu1application, read
applicant2, application2, checkStatus
eeFac2, ee601gradebook, addScore
admissions1, csStu1application, setStatus
admissions2, eeStu4application, setStatus
registrar2, cs601roster, read
admissions2, application2, setStatus
registrar2, cs101roster, write
registrar2, ee601roster, write
admissions1, csStu4application, read
csStu4, csStu4application, checkStatus
csStu2, cs101gradebook, addScore
csStu5, csStu5trans, read
eeChair, eeStu3trans, read
admissions1, csStu1application, read
csStu2, cs601gradebook, readMyScores
csStu2, cs602gradebook, addScore
registrar2, cs601roster, write
csFac1, cs101gradebook, readScore
csFac1, cs101gradebook, addScore
eeFac2, ee601gradebook, assignGrade
admissions2, eeStu3application, read
admissions2, eeStu5application, setStatus
csStu3, csStu3trans, read
eeStu3, ee601gradebook, readScore
registrar2, csStu4trans, read
csStu5, cs602gradebook, readMyScores
csStu4, csStu4trans, read
admissions2, csStu3application, setStatus
admissions1, eeStu2application, read
registrar2, ee101roster, write
registrar1, cs601roster, write
admissions1, csStu2application, setStatus
registrar1, cs101roster, read
registrar1, cs101roster, write
registrar2, csStu2trans, read
admissions1, eeStu4application, setStatus
registrar1, cs602roster, write
registrar1, ee101roster, read
admissions1, eeStu4application, read
admissions1, eeStu5application, read
admissions2, eeStu2application, read
registrar1, csStu3trans, read
eeFac1, ee101roster, read
registrar2, csStu3trans, read
registrar1, ee602roster, write
csStu5, csStu5application, checkStatus
registrar2, ee101roster, read
admissions2, csStu2application, read
csFac2, cs601roster, read
csStu2, cs101gradebook, readScore
registrar1, csStu2trans, read
eeStu2, ee602gradebook, readScore
registrar1, eeStu4trans, read
admissions2, csStu4application, read
eeStu2, eeStu2application, checkStatus
csStu3, cs601gradebook, readScore
csStu2, csStu2trans, read
csFac2, cs601gradebook, assignGrade
admissions1, csStu2application, read
admissions1, csStu3application, read
admissions2, eeStu5application, read
eeFac1, ee101gradebook, changeScore
registrar2, csStu1trans, read
eeFac2, ee601roster, read
eeFac1, ee101gradebook, assignGrade
registrar2, eeStu5trans, read
registrar2, ee602roster, write
admissions2, eeStu2application, setStatus
eeStu2, ee101gradebook, addScore
eeStu1, eeStu1trans, read
csStu3, cs602gradebook, readMyScores
csStu2, csStu2application, checkStatus
eeFac2, ee601gradebook, changeScore
csStu1, csStu1application, checkStatus
registrar1, eeStu5trans, read
eeFac1, ee101gradebook, addScore
registrar2, ee602roster, read
registrar2, eeStu3trans, read
applicant1, application1, checkStatus
eeStu2, ee601gradebook, readMyScores
registrar1, ee601roster, write
