Commong lines / Lines that are correct: 90
admissions1, application1, read
admissions1, application1, setStatus
admissions1, application2, read
admissions1, application2, setStatus
admissions1, csStu1application, read
admissions1, csStu1application, setStatus
admissions1, csStu2application, read
admissions1, csStu2application, setStatus
admissions1, csStu3application, read
admissions1, csStu3application, setStatus
admissions1, csStu4application, read
admissions1, csStu4application, setStatus
admissions1, csStu5application, read
admissions1, csStu5application, setStatus
admissions1, eeStu1application, read
admissions1, eeStu1application, setStatus
admissions1, eeStu2application, read
admissions1, eeStu2application, setStatus
admissions1, eeStu3application, read
admissions1, eeStu3application, setStatus
admissions1, eeStu4application, read
admissions1, eeStu4application, setStatus
admissions1, eeStu5application, read
admissions1, eeStu5application, setStatus
admissions2, application1, read
admissions2, application1, setStatus
admissions2, application2, read
admissions2, application2, setStatus
admissions2, csStu1application, read
admissions2, csStu1application, setStatus
admissions2, csStu2application, read
admissions2, csStu2application, setStatus
admissions2, csStu3application, read
admissions2, csStu3application, setStatus
admissions2, csStu4application, read
admissions2, csStu4application, setStatus
admissions2, csStu5application, read
admissions2, csStu5application, setStatus
admissions2, eeStu1application, read
admissions2, eeStu1application, setStatus
admissions2, eeStu2application, read
admissions2, eeStu2application, setStatus
admissions2, eeStu3application, read
admissions2, eeStu3application, setStatus
admissions2, eeStu4application, read
admissions2, eeStu4application, setStatus
admissions2, eeStu5application, read
admissions2, eeStu5application, setStatus
applicant1, application1, checkStatus
applicant2, application2, checkStatus
csFac1, cs101gradebook, assignGrade
csFac1, cs101roster, read
csFac2, cs601gradebook, assignGrade
csFac2, cs601roster, read
csStu1, csStu1application, checkStatus
csStu1, csStu1trans, read
csStu2, csStu2application, checkStatus
csStu2, csStu2trans, read
csStu3, csStu3application, checkStatus
csStu3, csStu3trans, read
csStu4, csStu4application, checkStatus
csStu4, csStu4trans, read
csStu5, csStu5application, checkStatus
csStu5, csStu5trans, read
eeFac1, ee101gradebook, assignGrade
eeFac1, ee101gradebook, readScore
eeFac2, ee601gradebook, assignGrade
eeFac2, ee601gradebook, readScore
eeStu1, eeStu1application, checkStatus
eeStu1, eeStu1trans, read
eeStu2, eeStu2application, checkStatus
eeStu2, eeStu2trans, read
eeStu3, eeStu3application, checkStatus
eeStu3, eeStu3trans, read
eeStu4, eeStu4application, checkStatus
eeStu4, eeStu4trans, read
eeStu5, eeStu5application, checkStatus
eeStu5, eeStu5trans, read
registrar1, cs101roster, write
registrar1, cs601roster, write
registrar1, cs602roster, write
registrar1, ee101roster, write
registrar1, ee601roster, write
registrar1, ee602roster, write
registrar2, cs101roster, write
registrar2, cs601roster, write
registrar2, cs602roster, write
registrar2, ee101roster, write
registrar2, ee601roster, write
registrar2, ee602roster, write

Only in ground truth ACL (under permissions): 78
csChair, csStu1trans, read
csChair, csStu2trans, read
csChair, csStu3trans, read
csChair, csStu4trans, read
csChair, csStu5trans, read
csFac1, cs101gradebook, addScore
csFac1, cs101gradebook, changeScore
csFac1, cs101gradebook, readScore
csFac2, cs601gradebook, addScore
csFac2, cs601gradebook, changeScore
csFac2, cs601gradebook, readScore
csStu1, cs101gradebook, readMyScores
csStu2, cs101gradebook, addScore
csStu2, cs101gradebook, readScore
csStu2, cs601gradebook, readMyScores
csStu2, cs602gradebook, addScore
csStu2, cs602gradebook, readScore
csStu3, cs601gradebook, addScore
csStu3, cs601gradebook, readScore
csStu3, cs602gradebook, readMyScores
csStu4, cs601gradebook, readMyScores
csStu5, cs601gradebook, readMyScores
csStu5, cs602gradebook, readMyScores
eeChair, eeStu1trans, read
eeChair, eeStu2trans, read
eeChair, eeStu3trans, read
eeChair, eeStu4trans, read
eeChair, eeStu5trans, read
eeFac1, ee101gradebook, addScore
eeFac1, ee101gradebook, changeScore
eeFac1, ee101roster, read
eeFac2, ee601gradebook, addScore
eeFac2, ee601gradebook, changeScore
eeFac2, ee601roster, read
eeStu1, ee101gradebook, readMyScores
eeStu2, ee101gradebook, addScore
eeStu2, ee101gradebook, readScore
eeStu2, ee601gradebook, readMyScores
eeStu2, ee602gradebook, addScore
eeStu2, ee602gradebook, readScore
eeStu3, ee601gradebook, addScore
eeStu3, ee601gradebook, readScore
eeStu3, ee602gradebook, readMyScores
eeStu4, ee601gradebook, readMyScores
eeStu5, ee601gradebook, readMyScores
eeStu5, ee602gradebook, readMyScores
registrar1, cs101roster, read
registrar1, cs601roster, read
registrar1, cs602roster, read
registrar1, csStu1trans, read
registrar1, csStu2trans, read
registrar1, csStu3trans, read
registrar1, csStu4trans, read
registrar1, csStu5trans, read
registrar1, ee101roster, read
registrar1, ee601roster, read
registrar1, ee602roster, read
registrar1, eeStu1trans, read
registrar1, eeStu2trans, read
registrar1, eeStu3trans, read
registrar1, eeStu4trans, read
registrar1, eeStu5trans, read
registrar2, cs101roster, read
registrar2, cs601roster, read
registrar2, cs602roster, read
registrar2, csStu1trans, read
registrar2, csStu2trans, read
registrar2, csStu3trans, read
registrar2, csStu4trans, read
registrar2, csStu5trans, read
registrar2, ee101roster, read
registrar2, ee601roster, read
registrar2, ee602roster, read
registrar2, eeStu1trans, read
registrar2, eeStu2trans, read
registrar2, eeStu3trans, read
registrar2, eeStu4trans, read
registrar2, eeStu5trans, read

Only in LLM ACL (over permissions): 670
applicant1, application2, checkStatus
applicant1, csStu1application, checkStatus
applicant1, csStu2application, checkStatus
applicant1, csStu3application, checkStatus
applicant1, csStu4application, checkStatus
applicant1, csStu5application, checkStatus
applicant1, eeStu1application, checkStatus
applicant1, eeStu2application, checkStatus
applicant1, eeStu3application, checkStatus
applicant1, eeStu4application, checkStatus
applicant1, eeStu5application, checkStatus
applicant2, application1, checkStatus
applicant2, csStu1application, checkStatus
applicant2, csStu2application, checkStatus
applicant2, csStu3application, checkStatus
applicant2, csStu4application, checkStatus
applicant2, csStu5application, checkStatus
applicant2, eeStu1application, checkStatus
applicant2, eeStu2application, checkStatus
applicant2, eeStu3application, checkStatus
applicant2, eeStu4application, checkStatus
applicant2, eeStu5application, checkStatus
csFac1, cs101gradebook, addScore,
csFac1, cs101gradebook, changeScore,
csFac1, cs601gradebook, addScore,
csFac1, cs601gradebook, assignGrade
csFac1, cs601gradebook, changeScore,
csFac1, cs601roster, read
csFac1, cs602gradebook, addScore,
csFac1, cs602gradebook, assignGrade
csFac1, cs602gradebook, changeScore,
csFac1, cs602roster, read
csFac1, ee101gradebook, addScore,
csFac1, ee101gradebook, assignGrade
csFac1, ee101gradebook, changeScore,
csFac1, ee101roster, read
csFac1, ee601gradebook, addScore,
csFac1, ee601gradebook, assignGrade
csFac1, ee601gradebook, changeScore,
csFac1, ee601roster, read
csFac1, ee602gradebook, addScore,
csFac1, ee602gradebook, assignGrade
csFac1, ee602gradebook, changeScore,
csFac1, ee602roster, read
csFac2, cs101gradebook, addScore,
csFac2, cs101gradebook, assignGrade
csFac2, cs101gradebook, changeScore,
csFac2, cs101roster, read
csFac2, cs601gradebook, addScore,
csFac2, cs601gradebook, changeScore,
csFac2, cs602gradebook, addScore,
csFac2, cs602gradebook, assignGrade
csFac2, cs602gradebook, changeScore,
csFac2, cs602roster, read
csFac2, ee101gradebook, addScore,
csFac2, ee101gradebook, assignGrade
csFac2, ee101gradebook, changeScore,
csFac2, ee101roster, read
csFac2, ee601gradebook, addScore,
csFac2, ee601gradebook, assignGrade
csFac2, ee601gradebook, changeScore,
csFac2, ee601roster, read
csFac2, ee602gradebook, addScore,
csFac2, ee602gradebook, assignGrade
csFac2, ee602gradebook, changeScore,
csFac2, ee602roster, read
csStu1, application1, checkStatus
csStu1, application2, checkStatus
csStu1, cs101gradebook, ]
csStu1, cs101gradebook, cr
csStu1, cs101gradebook, crsTaken
csStu1, cs101gradebook, crsTaught
csStu1, cs101gradebook, readMyScores},
csStu1, cs101gradebook, readScore},
csStu1, cs601gradebook, ]
csStu1, cs601gradebook, cr
csStu1, cs601gradebook, crsTaken
csStu1, cs601gradebook, crsTaught
csStu1, cs601gradebook, readMyScores},
csStu1, cs601gradebook, readScore},
csStu1, cs602gradebook, ]
csStu1, cs602gradebook, cr
csStu1, cs602gradebook, crsTaken
csStu1, cs602gradebook, crsTaught
csStu1, cs602gradebook, readMyScores},
csStu1, cs602gradebook, readScore},
csStu1, csStu2application, checkStatus
csStu1, csStu2trans, read
csStu1, csStu3application, checkStatus
csStu1, csStu3trans, read
csStu1, csStu4application, checkStatus
csStu1, csStu4trans, read
csStu1, csStu5application, checkStatus
csStu1, csStu5trans, read
csStu1, ee101gradebook, ]
csStu1, ee101gradebook, cr
csStu1, ee101gradebook, crsTaken
csStu1, ee101gradebook, crsTaught
csStu1, ee101gradebook, readMyScores},
csStu1, ee101gradebook, readScore},
csStu1, ee601gradebook, ]
csStu1, ee601gradebook, cr
csStu1, ee601gradebook, crsTaken
csStu1, ee601gradebook, crsTaught
csStu1, ee601gradebook, readMyScores},
csStu1, ee601gradebook, readScore},
csStu1, ee602gradebook, ]
csStu1, ee602gradebook, cr
csStu1, ee602gradebook, crsTaken
csStu1, ee602gradebook, crsTaught
csStu1, ee602gradebook, readMyScores},
csStu1, ee602gradebook, readScore},
csStu1, eeStu1application, checkStatus
csStu1, eeStu1trans, read
csStu1, eeStu2application, checkStatus
csStu1, eeStu2trans, read
csStu1, eeStu3application, checkStatus
csStu1, eeStu3trans, read
csStu1, eeStu4application, checkStatus
csStu1, eeStu4trans, read
csStu1, eeStu5application, checkStatus
csStu1, eeStu5trans, read
csStu2, application1, checkStatus
csStu2, application2, checkStatus
csStu2, cs101gradebook, ]
csStu2, cs101gradebook, cr
csStu2, cs101gradebook, crsTaken
csStu2, cs101gradebook, crsTaught
csStu2, cs101gradebook, readMyScores},
csStu2, cs101gradebook, readScore},
csStu2, cs601gradebook, ]
csStu2, cs601gradebook, cr
csStu2, cs601gradebook, crsTaken
csStu2, cs601gradebook, crsTaught
csStu2, cs601gradebook, readMyScores},
csStu2, cs601gradebook, readScore},
