eeStu4, csStu3trans, read
csStu3, csStu5application, setStatus
eeStu5, eeStu2application, setStatus
csStu5, csStu5application, checkStatus
applicant1, eeStu3application, checkStatus
applicant2, csStu1application, checkStatus
eeStu3, csStu5application, checkStatus
eeStu5, csStu5trans, read
eeStu1, csStu4application, setStatus
applicant1, application1, checkStatus
eeStu3, csStu1application, setStatus
eeStu1, application2, setStatus
eeStu5, eeStu5trans, read
csStu1, eeStu5application, setStatus
eeStu5, eeStu1application, checkStatus
eeStu2, csStu3application, setStatus
eeStu2, application2, checkStatus
eeStu4, application2, checkStatus
applicant1, csStu1application, checkStatus
eeStu3, eeStu2trans, read
eeStu4, eeStu5application, setStatus
eeStu4, eeStu4trans, read
csStu5, eeStu3application, setStatus
eeStu2, eeStu3application, checkStatus
csStu3, eeStu1application, setStatus
csStu1, eeStu3application, checkStatus
csStu4, eeStu3trans, read
csStu1, application1, checkStatus
csStu2, eeStu4application, checkStatus
eeStu3, csStu4application, checkStatus
eeStu3, csStu2application, setStatus
csStu3, csStu2application, setStatus
csStu2, eeStu2application, checkStatus
eeStu5, eeStu3trans, read
eeStu1, eeStu5application, checkStatus
csStu2, application1, checkStatus
eeStu3, csStu2trans, read
csStu2, eeStu4application, setStatus
csStu4, csStu3trans, read
csStu3, csStu5application, checkStatus
csStu2, eeStu5application, checkStatus
eeStu5, csStu3application, checkStatus
eeStu1, eeStu2trans, read
eeStu2, csStu2application, checkStatus
csStu2, csStu4application, checkStatus
csStu1, csStu2trans, read
csStu5, csStu2application, setStatus
eeStu4, csStu1application, setStatus
csStu3, csStu3application, setStatus
eeStu5, eeStu5application, checkStatus
eeStu2, csStu1application, checkStatus
csStu3, eeStu5application, checkStatus
csStu5, eeStu3trans, read
csStu5, csStu4trans, read
eeStu4, csStu4trans, read
eeStu1, eeStu1trans, read
eeStu2, application1, setStatus
csStu4, csStu4application, setStatus
applicant1, eeStu1application, checkStatus
eeStu2, csStu3application, checkStatus
eeStu3, csStu3application, checkStatus
eeStu2, eeStu4trans, read
csStu5, eeStu4application, checkStatus
csStu5, application1, setStatus
applicant2, application2, checkStatus
eeStu4, application1, setStatus
csStu3, eeStu4application, checkStatus
csStu1, eeStu4application, setStatus
eeStu4, csStu2trans, read
csStu5, eeStu5application, setStatus
eeStu5, application1, checkStatus
csStu5, csStu5trans, read
csStu4, eeStu4trans, read
csStu5, csStu1trans, read
eeStu5, csStu1trans, read
eeStu5, eeStu5application, setStatus
csStu4, eeStu4application, setStatus
csStu2, eeStu3trans, read
csStu4, eeStu3application, setStatus
eeStu2, application2, setStatus
csStu5, eeStu1application, setStatus
csStu5, csStu2trans, read
eeStu5, csStu5application, setStatus
eeStu2, csStu2trans, read
csStu1, application2, setStatus
csStu3, eeStu2trans, read
csStu1, csStu4application, checkStatus
csStu2, csStu5application, setStatus
csStu2, eeStu5trans, read
eeStu2, eeStu1application, checkStatus
csStu1, application1, setStatus
eeStu4, eeStu2trans, read
csStu4, csStu1application, checkStatus
applicant1, csStu5application, checkStatus
csStu5, csStu3application, setStatus
csStu3, eeStu3trans, read
csStu1, eeStu5application, checkStatus
eeStu1, csStu4trans, read
csStu3, csStu3trans, read
csStu5, eeStu2trans, read
csStu2, application2, checkStatus
csStu1, eeStu1trans, read
eeStu3, application1, checkStatus
eeStu2, csStu2application, setStatus
eeStu4, csStu4application, setStatus
eeStu3, eeStu4trans, read
eeStu3, eeStu5application, setStatus
eeStu5, eeStu3application, checkStatus
csStu2, csStu2application, setStatus
eeStu5, eeStu4application, checkStatus
csStu5, csStu2application, checkStatus
applicant2, application1, checkStatus
eeStu2, eeStu5trans, read
csStu2, csStu1application, checkStatus
csStu1, eeStu3application, setStatus
applicant2, csStu2application, checkStatus
eeStu3, csStu1trans, read
applicant2, csStu4application, checkStatus
csStu3, eeStu4trans, read
eeStu1, eeStu4application, checkStatus
csStu2, csStu1application, setStatus
eeStu4, csStu5application, checkStatus
eeStu4, eeStu3trans, read
csStu4, eeStu5application, setStatus
csStu5, application2, checkStatus
eeStu1, csStu3application, checkStatus
csStu2, csStu2trans, read
csStu1, csStu3application, checkStatus
applicant2, eeStu2application, checkStatus
csStu1, eeStu5trans, read
csStu3, csStu2application, checkStatus
csStu1, csStu2application, setStatus
eeStu1, eeStu1application, setStatus
eeStu4, eeStu3application, checkStatus
eeStu3, eeStu4application, checkStatus
eeStu4, eeStu4application, setStatus
csStu5, eeStu1application, checkStatus
csStu4, csStu1trans, read
eeStu5, csStu3trans, read
eeStu1, eeStu1application, checkStatus
eeStu1, csStu1application, setStatus
csStu2, csStu5trans, read
csStu4, eeStu2application, checkStatus
csStu1, eeStu2trans, read
csStu2, csStu3application, checkStatus
eeStu1, csStu1application, checkStatus
eeStu4, csStu4application, checkStatus
csStu4, application1, setStatus
eeStu1, application1, checkStatus
eeStu3, csStu4trans, read
csStu3, csStu2trans, read
csStu2, csStu3application, setStatus
csStu5, eeStu2application, setStatus
csStu4, csStu4application, checkStatus
applicant2, eeStu5application, checkStatus
csStu1, eeStu3trans, read
eeStu4, eeStu1application, checkStatus
applicant2, csStu3application, checkStatus
eeStu1, eeStu4application, setStatus
eeStu5, csStu4application, checkStatus
csStu3, csStu1application, checkStatus
eeStu2, csStu4trans, read
csStu1, csStu5application, checkStatus
csStu2, eeStu1trans, read
eeStu3, eeStu5application, checkStatus
eeStu3, application1, setStatus
eeStu1, csStu4application, checkStatus
csStu2, csStu3trans, read
csStu3, application2, setStatus
csStu1, application2, checkStatus
eeStu5, csStu2application, checkStatus
eeStu5, eeStu1application, setStatus
eeStu2, csStu5trans, read
