csStu2, eeStu1application, acts = {checkStatus}
csStu5, application2, acts = {checkStatus}
csStu1, csStu3application, acts = {checkStatus}
csStu4, csStu1application, acts = {checkStatus}
applicant1, application2, acts = {checkStatus}
csStu1, eeStu3application, acts = {checkStatus}
eeStu2, eeStu4application, acts = {checkStatus}
applicant2, csStu2application, acts = {checkStatus}
eeStu3, csStu4application, acts = {checkStatus}
csStu4, eeStu3application, acts = {checkStatus}
csStu2, csStu4application, acts = {checkStatus}
csStu2, eeStu3application, acts = {checkStatus}
csStu3, csStu3application, acts = {checkStatus}
applicant2, application2, acts = {checkStatus}
eeStu1, application1, acts = {checkStatus}
eeStu2, application1, acts = {checkStatus}
eeStu2, csStu4application, acts = {checkStatus}
eeStu2, eeStu5application, acts = {checkStatus}
csStu4, eeStu5application, acts = {checkStatus}
csStu5, csStu3application, acts = {checkStatus}
eeStu3, csStu3application, acts = {checkStatus}
csStu2, application1, acts = {checkStatus}
csStu3, csStu2application, acts = {checkStatus}
eeStu3, application1, acts = {checkStatus}
csStu4, csStu2application, acts = {checkStatus}
csStu4, eeStu2application, acts = {checkStatus}
eeStu5, application1, acts = {checkStatus}
eeStu5, application2, acts = {checkStatus}
csStu4, application2, acts = {checkStatus}
eeStu1, eeStu5application, acts = {checkStatus}
applicant2, eeStu1application, acts = {checkStatus}
applicant2, eeStu3application, acts = {checkStatus}
applicant1, eeStu5application, acts = {checkStatus}
eeStu5, csStu5application, acts = {checkStatus}
csStu3, eeStu2application, acts = {checkStatus}
csStu2, eeStu5application, acts = {checkStatus}
csStu3, eeStu5application, acts = {checkStatus}
csStu1, csStu4application, acts = {checkStatus}
eeStu5, csStu3application, acts = {checkStatus}
eeStu5, eeStu5application, acts = {checkStatus}
csStu1, csStu5application, acts = {checkStatus}
eeStu4, eeStu1application, acts = {checkStatus}
applicant2, eeStu2application, acts = {checkStatus}
eeStu1, csStu5application, acts = {checkStatus}
eeStu3, eeStu2application, acts = {checkStatus}
eeStu3, csStu5application, acts = {checkStatus}
eeStu2, csStu2application, acts = {checkStatus}
eeStu2, application2, acts = {checkStatus}
eeStu4, application1, acts = {checkStatus}
eeStu4, eeStu4application, acts = {checkStatus}
csStu4, csStu4application, acts = {checkStatus}
eeStu3, csStu1application, acts = {checkStatus}
csStu4, csStu5application, acts = {checkStatus}
csStu3, csStu5application, acts = {checkStatus}
applicant2, csStu5application, acts = {checkStatus}
eeStu2, eeStu3application, acts = {checkStatus}
eeStu4, csStu3application, acts = {checkStatus}
eeStu2, csStu3application, acts = {checkStatus}
eeStu4, eeStu3application, acts = {checkStatus}
applicant2, csStu4application, acts = {checkStatus}
applicant1, csStu3application, acts = {checkStatus}
eeStu4, eeStu2application, acts = {checkStatus}
eeStu4, eeStu5application, acts = {checkStatus}
applicant2, application1, acts = {checkStatus}
csStu2, csStu2application, acts = {checkStatus}
csStu5, eeStu3application, acts = {checkStatus}
csStu5, csStu1application, acts = {checkStatus}
csStu2, csStu1application, acts = {checkStatus}
csStu2, eeStu2application, acts = {checkStatus}
csStu5, csStu4application, acts = {checkStatus}
eeStu5, csStu4application, acts = {checkStatus}
eeStu4, csStu4application, acts = {checkStatus}
eeStu3, eeStu1application, acts = {checkStatus}
csStu4, application1, acts = {checkStatus}
csStu1, application1, acts = {checkStatus}
applicant2, csStu3application, acts = {checkStatus}
csStu5, eeStu5application, acts = {checkStatus}
csStu4, eeStu4application, acts = {checkStatus}
applicant1, eeStu2application, acts = {checkStatus}
applicant1, eeStu4application, acts = {checkStatus}
applicant2, eeStu5application, acts = {checkStatus}
csStu4, eeStu1application, acts = {checkStatus}
csStu5, eeStu4application, acts = {checkStatus}
eeStu2, eeStu2application, acts = {checkStatus}
csStu1, csStu2application, acts = {checkStatus}
eeStu3, application2, acts = {checkStatus}
eeStu4, csStu1application, acts = {checkStatus}
csStu2, application2, acts = {checkStatus}
eeStu1, eeStu2application, acts = {checkStatus}
eeStu1, csStu3application, acts = {checkStatus}
eeStu3, eeStu5application, acts = {checkStatus}
eeStu5, csStu1application, acts = {checkStatus}
csStu3, csStu1application, acts = {checkStatus}
csStu3, eeStu3application, acts = {checkStatus}
csStu5, eeStu1application, acts = {checkStatus}
applicant1, csStu1application, acts = {checkStatus}
eeStu3, eeStu4application, acts = {checkStatus}
csStu1, application2, acts = {checkStatus}
eeStu2, csStu5application, acts = {checkStatus}
eeStu5, csStu2application, acts = {checkStatus}
eeStu3, csStu2application, acts = {checkStatus}
eeStu4, csStu2application, acts = {checkStatus}
csStu1, eeStu4application, acts = {checkStatus}
applicant1, csStu5application, acts = {checkStatus}
csStu3, eeStu1application, acts = {checkStatus}
eeStu5, eeStu1application, acts = {checkStatus}
csStu2, csStu3application, acts = {checkStatus}
applicant1, csStu2application, acts = {checkStatus}
applicant1, csStu4application, acts = {checkStatus}
eeStu1, csStu1application, acts = {checkStatus}
csStu1, csStu1application, acts = {checkStatus}
applicant1, eeStu1application, acts = {checkStatus}
csStu1, eeStu5application, acts = {checkStatus}
csStu5, csStu5application, acts = {checkStatus}
csStu3, application2, acts = {checkStatus}
csStu3, csStu4application, acts = {checkStatus}
csStu5, eeStu2application, acts = {checkStatus}
eeStu1, eeStu3application, acts = {checkStatus}
csStu2, eeStu4application, acts = {checkStatus}
csStu2, csStu5application, acts = {checkStatus}
csStu3, application1, acts = {checkStatus}
csStu5, application1, acts = {checkStatus}
eeStu1, eeStu4application, acts = {checkStatus}
csStu3, eeStu4application, acts = {checkStatus}
applicant2, csStu1application, acts = {checkStatus}
csStu4, csStu3application, acts = {checkStatus}
eeStu1, csStu2application, acts = {checkStatus}
csStu5, csStu2application, acts = {checkStatus}
eeStu5, eeStu4application, acts = {checkStatus}
eeStu2, csStu1application, acts = {checkStatus}
csStu1, eeStu2application, acts = {checkStatus}
eeStu5, eeStu3application, acts = {checkStatus}
eeStu1, application2, acts = {checkStatus}
eeStu2, eeStu1application, acts = {checkStatus}
eeStu1, eeStu1application, acts = {checkStatus}
eeStu1, csStu4application, acts = {checkStatus}
csStu1, eeStu1application, acts = {checkStatus}
eeStu5, eeStu2application, acts = {checkStatus}
applicant1, eeStu3application, acts = {checkStatus}
applicant2, eeStu4application, acts = {checkStatus}
applicant1, application1, acts = {checkStatus}
eeStu4, csStu5application, acts = {checkStatus}
eeStu4, application2, acts = {checkStatus}
eeStu3, eeStu3application, acts = {checkStatus}
