admissions1, eeStu4application, acts [ {setStatus}
admissions1, csStu4application, acts [ {read}
admissions1, csStu4application, acts [ {setStatus}
admissions1, eeStu4application, acts [ {read}
admissions2, csStu1application, acts [ {setStatus}
admissions1, eeStu1application, acts [ {setStatus}
admissions1, csStu2application, acts [ {setStatus}
admissions1, application1, acts [ {read}
admissions2, application2, acts [ {setStatus}
admissions2, csStu4application, acts [ {setStatus}
admissions2, csStu5application, acts [ {read}
admissions2, eeStu1application, acts [ {read}
admissions1, csStu5application, acts [ {setStatus}
admissions2, csStu2application, acts [ {read}
admissions1, application1, acts [ {setStatus}
admissions1, eeStu5application, acts [ {setStatus}
admissions2, csStu3application, acts [ {read}
admissions1, csStu3application, acts [ {read}
admissions2, eeStu4application, acts [ {read}
admissions2, application1, acts [ {setStatus}
admissions1, eeStu5application, acts [ {read}
admissions2, eeStu1application, acts [ {setStatus}
admissions1, eeStu2application, acts [ {read}
admissions2, application1, acts [ {read}
admissions2, csStu4application, acts [ {read}
admissions1, eeStu2application, acts [ {setStatus}
admissions2, eeStu2application, acts [ {setStatus}
admissions1, csStu2application, acts [ {read}
admissions1, csStu1application, acts [ {setStatus}
admissions2, application2, acts [ {read}
admissions1, csStu3application, acts [ {setStatus}
admissions2, eeStu5application, acts [ {read}
admissions2, eeStu5application, acts [ {setStatus}
admissions2, eeStu3application, acts [ {read}
admissions2, csStu2application, acts [ {setStatus}
admissions2, eeStu4application, acts [ {setStatus}
admissions1, application2, acts [ {read}
admissions1, csStu5application, acts [ {read}
admissions1, csStu1application, acts [ {read}
admissions1, eeStu3application, acts [ {setStatus}
admissions2, csStu5application, acts [ {setStatus}
admissions1, application2, acts [ {setStatus}
admissions1, eeStu3application, acts [ {read}
admissions2, eeStu2application, acts [ {read}
admissions2, csStu1application, acts [ {read}
admissions1, eeStu1application, acts [ {read}
admissions2, eeStu3application, acts [ {setStatus}
admissions2, csStu3application, acts [ {setStatus}
