rule(position [ {registrar}; type [ {transcript}; acts={read}; departments = departments)
rule(position [ {admissions}; type [ {application}; acts={read, setStatus}; student = student)
rule(position [ {faculty}, department = departments; type [ {gradebook}; acts={readScore, addScore, changeScore, assignGrade}; crsTaught ] crs)
rule(position [ {faculty}, department = departments; type [ {roster}; acts={read}; crsTaught ] crs)
rule(position [ {student}, department = departments; type [ {gradebook}; acts={readMyScores}; crsTaken ] crs)
rule(position [ {student}; type [ {transcript}; acts={read}; student = uid)
rule(position [ {student}; type [ {application}; acts={checkStatus}; student = uid)
rule(isChair [ {True}, department = departments; type [ {transcript}; acts={read}; departments = departments)
rule(position [ {staff}, department = {registrar}; type [ {roster}; acts={write, read}; departments = departments)
rule(position [ {student}; type [ {gradebook}; acts={readScore, addScore}; crsTaught ] crs)
rule(position [ {applicant}; type [ {application}; acts={checkStatus}; student = uid)
