Commong lines / Lines that are correct: 52
admissions1, application1, setStatus
admissions1, application2, setStatus
admissions1, csStu1application, setStatus
admissions1, csStu2application, setStatus
admissions1, csStu3application, setStatus
admissions1, csStu4application, setStatus
admissions1, csStu5application, setStatus
admissions1, eeStu1application, setStatus
admissions1, eeStu2application, setStatus
admissions1, eeStu3application, setStatus
admissions1, eeStu4application, setStatus
admissions1, eeStu5application, setStatus
admissions2, application1, setStatus
admissions2, application2, setStatus
admissions2, csStu1application, setStatus
admissions2, csStu2application, setStatus
admissions2, csStu3application, setStatus
admissions2, csStu4application, setStatus
admissions2, csStu5application, setStatus
admissions2, eeStu1application, setStatus
admissions2, eeStu2application, setStatus
admissions2, eeStu3application, setStatus
admissions2, eeStu4application, setStatus
admissions2, eeStu5application, setStatus
applicant1, application1, checkStatus
applicant2, application2, checkStatus
csFac1, cs101gradebook, changeScore
csFac1, cs101roster, read
csFac2, cs601gradebook, changeScore
csFac2, cs601roster, read
csStu1, csStu1application, checkStatus
csStu1, csStu1trans, read
csStu2, csStu2application, checkStatus
csStu2, csStu2trans, read
csStu3, csStu3application, checkStatus
csStu3, csStu3trans, read
csStu4, csStu4application, checkStatus
csStu4, csStu4trans, read
csStu5, csStu5application, checkStatus
csStu5, csStu5trans, read
eeFac1, ee101gradebook, changeScore
eeFac2, ee601gradebook, changeScore
eeStu1, eeStu1application, checkStatus
eeStu1, eeStu1trans, read
eeStu2, eeStu2application, checkStatus
eeStu2, eeStu2trans, read
eeStu3, eeStu3application, checkStatus
eeStu3, eeStu3trans, read
eeStu4, eeStu4application, checkStatus
eeStu4, eeStu4trans, read
eeStu5, eeStu5application, checkStatus
eeStu5, eeStu5trans, read

Only in ground truth ACL (under permissions): 116
admissions1, application1, read
admissions1, application2, read
admissions1, csStu1application, read
admissions1, csStu2application, read
admissions1, csStu3application, read
admissions1, csStu4application, read
admissions1, csStu5application, read
admissions1, eeStu1application, read
admissions1, eeStu2application, read
admissions1, eeStu3application, read
admissions1, eeStu4application, read
admissions1, eeStu5application, read
admissions2, application1, read
admissions2, application2, read
admissions2, csStu1application, read
admissions2, csStu2application, read
admissions2, csStu3application, read
admissions2, csStu4application, read
admissions2, csStu5application, read
admissions2, eeStu1application, read
admissions2, eeStu2application, read
admissions2, eeStu3application, read
admissions2, eeStu4application, read
admissions2, eeStu5application, read
csChair, csStu1trans, read
csChair, csStu2trans, read
csChair, csStu3trans, read
csChair, csStu4trans, read
csChair, csStu5trans, read
csFac1, cs101gradebook, addScore
csFac1, cs101gradebook, assignGrade
csFac1, cs101gradebook, readScore
csFac2, cs601gradebook, addScore
csFac2, cs601gradebook, assignGrade
csFac2, cs601gradebook, readScore
csStu1, cs101gradebook, readMyScores
csStu2, cs101gradebook, addScore
csStu2, cs101gradebook, readScore
csStu2, cs601gradebook, readMyScores
csStu2, cs602gradebook, addScore
csStu2, cs602gradebook, readScore
csStu3, cs601gradebook, addScore
csStu3, cs601gradebook, readScore
csStu3, cs602gradebook, readMyScores
csStu4, cs601gradebook, readMyScores
csStu5, cs601gradebook, readMyScores
csStu5, cs602gradebook, readMyScores
