rule(position [ {registrar}; type [ {transcript}; acts [ {read}; departments = department)
rule(position [ {csChair}; type [ {transcript}; acts [ {read}; departments = department)
rule(position [ {admissions}; type [ {application}; acts [ {setStatus}; departments = department)
rule(position [ {admissions}; type [ {application}; acts [ {read})
rule(position [ {faculty}, crsTaught ] crs; type [ {gradebook}; acts [ {readScore, addScore, assignGrade, changeScore}; departments = department, crs = crs)
rule(position [ {student}, crsTaught ] crs; type [ {gradebook}; acts [ {readScore}; departments = department, crs = crs)
rule(position [ {student}, crsTaken ] crs; type [ {gradebook}; acts [ {readMyScores}; departments = department, crs = crs)
rule(position [ {faculty}; type [ {roster}; acts [ {read}; departments = department, crs = crs)
rule(position [ {staff}; type [ {roster}; acts [ {read, write}; departments = department, crs = crs)
rule(position [ {applicant, student}; type [ {application}; acts [ {checkStatus}; student = uid)
rule(position [ {student}; type [ {transcript}; acts [ {read}; student = uid, departments = department)
