registrar2, application2, department = admissions
admissions2, cs602roster, department=cs]
admissions1, csStu2application, student=applicant2]
registrar1, eeStu3application, student=applicant1]
registrar2, csStu4application, department = admissions
registrar1, eeStu5application, student=applicant2]
admissions1, eeStu2trans, department=cs]
admissions1, eeStu1application, student=applicant2]
registrar2, eeStu5trans, department=ee]
admissions2, csStu3application, department = admissions
admissions2, eeStu2application, department = admissions
registrar1, ee602roster, department=cs]
admissions2, csStu5trans, department=cs]
registrar2, eeStu2application, student=applicant1]
admissions2, application2, student=applicant2]
registrar2, cs601roster, department=cs]
admissions1, csStu4trans, department=cs]
registrar2, ee101roster, department=ee]
registrar2, application1, student=applicant1]
admissions2, eeStu1application, student=applicant1]
admissions1, csStu1application, department = admissions
registrar2, eeStu3trans, department=ee]
admissions2, eeStu4application, department = admissions
registrar1, eeStu4trans, department=cs]
admissions2, csStu3application, student=applicant2]
admissions1, ee101roster, department=cs]
admissions2, ee601roster, department=ee]
registrar1, eeStu1trans, department=ee]
admissions1, csStu2trans, department=cs]
admissions1, eeStu2application, student=applicant1]
registrar2, ee602roster, department=ee]
admissions1, ee601roster, department=cs]
admissions2, application2, student=applicant1]
registrar2, csStu1application, student=applicant2]
registrar1, csStu1trans, department=ee]
admissions2, cs601roster, department=cs]
admissions2, cs601roster, department=ee]
registrar1, csStu1application, student=applicant1]
registrar2, csStu2application, student=applicant1]
registrar1, cs601roster, department=cs]
admissions1, application2, student=applicant1]
admissions2, eeStu2application, student=applicant2]
registrar2, eeStu4application, department = admissions
admissions2, eeStu5trans, department=cs]
admissions1, eeStu5trans, department=ee]
registrar1, eeStu2application, student=applicant1]
registrar1, eeStu4application, student=applicant2]
registrar2, cs101roster, department=cs]
admissions1, ee101roster, department=ee]
admissions2, eeStu3application, student=applicant2]
admissions1, csStu5trans, department=ee]
registrar1, eeStu4application, student=applicant1]
registrar2, csStu5application, department = admissions
admissions1, eeStu5trans, department=cs]
registrar2, csStu1trans, department=cs]
registrar1, eeStu1application, student=applicant2]
registrar2, eeStu4trans, department=ee]
admissions2, eeStu2trans, department=cs]
admissions2, csStu1application, student=applicant2]
admissions1, eeStu1application, student=applicant1]
admissions2, eeStu5trans, department=ee]
registrar1, ee101roster, department=cs]
admissions1, eeStu5application, student=applicant2]
admissions1, eeStu1trans, department=ee]
admissions1, csStu4application, student=applicant2]
admissions1, cs601roster, department=cs]
admissions2, eeStu4application, student=applicant2]
registrar1, csStu4application, student=applicant1]
admissions2, ee602roster, department=ee]
admissions2, csStu2application, student=applicant1]
registrar2, csStu3application, department = admissions
registrar1, eeStu4trans, department=ee]
admissions2, eeStu1application, student=applicant2]
registrar2, cs101roster, department=ee]
admissions1, ee601roster, department=ee]
admissions2, csStu5application, department = admissions
admissions1, ee602roster, department=ee]
admissions2, application1, department = admissions
admissions2, eeStu1trans, department=cs]
admissions1, csStu3trans, department=cs]
registrar2, application2, student=applicant2]
registrar1, csStu2application, student=applicant1]
registrar2, application1, department = admissions
registrar1, ee602roster, department=ee]
registrar2, eeStu1application, student=applicant2]
admissions2, eeStu5application, student=applicant2]
registrar1, csStu5application, student=applicant2]
admissions1, csStu1application, student=applicant2]
registrar1, eeStu5application, department = admissions
admissions1, cs602roster, department=cs]
admissions1, eeStu3trans, department=cs]
registrar1, cs101roster, department=cs]
registrar2, cs602roster, department=ee]
registrar2, csStu1trans, department=ee]
admissions2, csStu4trans, department=ee]
registrar1, csStu2application, department = admissions
registrar1, csStu2trans, department=cs]
registrar2, eeStu3trans, department=cs]
admissions2, csStu1application, department = admissions
admissions1, eeStu5application, department = admissions
registrar1, ee101roster, department=ee]
registrar2, ee601roster, department=ee]
registrar1, csStu5trans, department=ee]
admissions1, cs101roster, department=ee]
admissions1, csStu3trans, department=ee]
admissions2, eeStu1trans, department=ee]
registrar1, application2, department = admissions
admissions2, application2, department = admissions
admissions1, eeStu3application, student=applicant2]
registrar1, eeStu1trans, department=cs]
admissions2, csStu1trans, department=cs]
admissions1, ee602roster, department=cs]
admissions1, csStu1trans, department=cs]
admissions2, csStu3trans, department=cs]
registrar2, csStu3trans, department=ee]
registrar2, cs601roster, department=ee]
registrar1, eeStu1application, department = admissions
admissions2, application1, student=applicant2]
registrar2, ee601roster, department=cs]
admissions2, csStu1application, student=applicant1]
registrar1, eeStu4application, department = admissions
registrar1, csStu4application, student=applicant2]
registrar1, csStu3application, department = admissions
registrar2, csStu4application, student=applicant1]
admissions2, csStu2application, department = admissions
registrar2, application1, student=applicant2]
admissions1, eeStu3application, department = admissions
admissions2, cs602roster, department=ee]
registrar2, eeStu1application, department = admissions
admissions1, eeStu4application, student=applicant2]
registrar2, eeStu2application, student=applicant2]
registrar2, csStu1application, department = admissions
