rule(position [ {registrar}; student = student, departments ] departments, type [ {transcript}; {read}; ])
rule(position [ {csStu2}; rid = csStu2trans; {read}; ])
rule(position [ {faculty}, isChair [ {True}; student = student, departments ] departments, type [ {transcript}; {read}; ])
rule(position [ {student}; rid = rid; {read}; ])
rule(position [ {staff}, department [ {registrar}; crs = crs, departments ] departments, type [ {roster}; {write, read}; ])
rule(position [ {student}; student = uid, type [ {application}; {checkStatus}; ])
rule(position [ {staff}, department [ {admissions}; student = student, type [ {application}; {setStatus, read}; ])
rule(position [ {faculty}; crs ] crs, departments ] departments, type [ {roster}; {read}; ])
rule(position [ {student}; crs ] crs, departments ] departments, type [ {gradebook}; {addScore}; ])
rule(position [ {faculty}; crs ] crs, departments ] departments, type [ {gradebook}; {addScore, changeScore, assignGrade, readScore}; ])
rule(position [ {student}; department = department, crs ] crs, departments ] departments, type [ {gradebook}; {readMyScores, readScore}; ])
rule(position [ {applicant}; type [ {application}; {checkStatus}; ])
rule(position [ {student}; rid = csStu2application; {checkStatus}; ])
