rule(position [ {registrar}; student = student, type [ {transcript}, departments ] departments; {read}; )
rule(position [ {csChair}; student = student, department [ {cs}, type [ {transcript}, departments ] departments; {read}; )
rule(position [ {faculty}, department [ {ee}; crs = crs, type [ {gradebook}; {readScore, assignGrade, changeScore, addScore}; )
rule(position [ {faculty}, department [ {cs}; crs = crs, type [ {gradebook}; {readScore, assignGrade, changeScore, addScore}; )
rule(position [ {student}, department [ {cs}; crs = crs, type [ {gradebook}; {readMyScores, readScore, addScore}; )
rule(position [ {student}, department [ {ee}; crs = crs, type [ {gradebook}; {readMyScores, readScore, addScore}; )
rule(position [ {staff}, department [ {registrar}; crs = crs, type [ {roster}; {read, write}; )
rule(position [ {faculty}; crs = crs, type [ {roster}, departments ] departments; {read}; )
rule(position [ {applicant, student}; student = student, type [ {application}; {checkStatus}; )
rule(position [ {student}; student = student, type [ {transcript}, departments ] departments; {read}; )
rule(position [ {staff}, department [ {admissions}; student = student, type [ {application}; {setStatus, read}; )
